Date,Close,High,Low,Open,Volume
2025-01-21,47.400001525878906,50.849998474121094,46.79999923706055,50.70000076293945,50283.0
2025-01-22,48.0,50.39699935913086,46.5,47.099998474121094,42681.0
2025-01-23,44.400001525878906,48.020999908447266,43.20000076293945,47.400001525878906,47209.0
2025-01-24,45.599998474121094,47.099998474121094,44.099998474121094,44.70000076293945,45711.0
2025-01-27,54.900001525878906,72.30000305175781,51.75,67.80000305175781,2375802.0
2025-01-28,58.20000076293945,60.900001525878906,51.0,55.5,184365.0
2025-01-29,52.20000076293945,57.29999923706055,51.900001525878906,52.5,93424.0
2025-01-30,47.400001525878906,52.20000076293945,45.900001525878906,51.0,68252.0
2025-01-31,46.5,48.900001525878906,46.20000076293945,47.70000076293945,44951.0
2025-02-03,43.79999923706055,44.99700164794922,41.54999923706055,44.70000076293945,57781.0
2025-02-04,47.400001525878906,52.20000076293945,43.5,43.5,95952.0
2025-02-05,45.599998474121094,47.61000061035156,44.400001525878906,46.5,38336.0
2025-02-06,43.79999923706055,45.60300064086914,43.5,45.0,36658.0
2025-02-07,41.400001525878906,44.70000076293945,41.400001525878906,43.5,48564.0
2025-02-10,39.900001525878906,43.5,39.599998474121094,42.0,65878.0
2025-02-11,36.900001525878906,40.20000076293945,36.599998474121094,39.900001525878906,56730.0
2025-02-12,36.599998474121094,39.0,35.70000076293945,36.0,46411.0
2025-02-13,38.70000076293945,39.0,36.29999923706055,37.20000076293945,57404.0
2025-02-14,37.79999923706055,39.599998474121094,37.20000076293945,39.0,35296.0
2025-02-18,38.400001525878906,40.196998596191406,37.5,37.79999923706055,39875.0
2025-02-19,36.29999923706055,38.54999923706055,36.29999923706055,38.099998474121094,38058.0
2025-02-20,34.5,37.20000076293945,33.29999923706055,36.29999923706055,934641.0
2025-02-21,190.8000030517578,351.29998779296875,79.5,93.90299987792969,17717848.0
2025-02-24,136.8000030517578,227.0970001220703,120.0,224.85000610351562,1845956.0
2025-02-25,136.5,159.0,115.5,117.0,798057.0
2025-02-26,130.8000030517578,152.6999969482422,129.0,135.89999389648438,353198.0
2025-02-27,129.89999389648438,172.1999969482422,121.5,133.8000030517578,773454.0
2025-02-28,125.0999984741211,142.1999969482422,123.30000305175781,137.10000610351562,139281.0
2025-03-03,115.19999694824219,125.4000015258789,111.30000305175781,123.30599975585938,109986.0
2025-03-04,124.5,132.60000610351562,100.80000305175781,100.80000305175781,128059.0
2025-03-05,147.0,163.5,120.9000015258789,121.5,330998.0
2025-03-06,133.8000030517578,146.39999389648438,129.3000030517578,139.8000030517578,64959.0
2025-03-07,121.94999694824219,144.0,120.5999984741211,132.0,61609.0
2025-03-10,111.0,123.0,107.0999984741211,122.4000015258789,35269.0
2025-03-11,120.0,138.60000610351562,115.50299835205078,127.3499984741211,450674.0
2025-03-12,118.80000305175781,130.5,112.5,121.19999694824219,78605.0
2025-03-13,119.0999984741211,133.8000030517578,116.10900115966797,117.0,103326.0
2025-03-14,121.80000305175781,138.0,114.30000305175781,128.10000610351562,225120.0
2025-03-17,119.0999984741211,132.8939971923828,118.19999694824219,120.0,82331.0
2025-03-18,109.80000305175781,126.0,109.19999694824219,120.5999984741211,77141.0
2025-03-19,107.0999984741211,112.5,103.80000305175781,111.0,55895.0
2025-03-20,93.5999984741211,105.0,90.44999694824219,103.5,70525.0
2025-03-21,75.5999984741211,93.9000015258789,62.099998474121094,93.30000305175781,157404.0
2025-03-24,419.70001220703125,460.1820068359375,114.75,120.5999984741211,10157400.0
2025-03-25,357.8999938964844,590.697021484375,270.0,340.5,2593327.0
2025-03-26,355.79998779296875,416.3999938964844,319.5,382.79998779296875,1030048.0
2025-03-27,478.20001220703125,622.2000122070312,327.0,338.3999938964844,2551681.0
2025-03-28,520.5,600.0,446.1000061035156,486.6000061035156,1425949.0
2025-03-31,727.5,903.0,551.7000122070312,558.0,1688749.0
2025-04-01,678.0,972.0,516.6389770507812,966.4500122070312,876968.0
2025-04-02,540.0,626.4000244140625,519.2999877929688,583.7999877929688,260216.0
2025-04-03,553.5,623.8829956054688,462.0,465.1499938964844,325313.0
2025-04-04,556.7999877929688,687.0,480.0,520.2000122070312,379421.0
2025-04-07,620.0999755859375,651.0,543.0,568.3499755859375,156250.0
2025-04-08,564.2999877929688,702.0,540.0,615.0,164381.0
2025-04-09,548.4000244140625,591.0,517.5029907226562,574.2000122070312,59934.0
2025-04-10,477.29998779296875,584.4000244140625,465.0,561.0,77084.0
2025-04-11,420.29998779296875,483.8999938964844,416.1000061035156,483.8999938964844,74317.0
2025-04-14,358.6499938964844,442.4670104980469,348.0,436.5,82655.0
2025-04-15,363.29998779296875,408.0,312.29998779296875,334.5,102764.0
2025-04-16,250.1999969482422,351.78900146484375,232.5,351.6000061035156,137394.0
2025-04-17,203.39999389648438,265.7969970703125,192.60000610351562,248.39999389648438,125154.0
2025-04-21,355.79998779296875,495.0,261.8999938964844,275.54998779296875,2614477.0
2025-04-22,294.8999938964844,363.0,289.5,361.20001220703125,370138.0
2025-04-23,277.79998779296875,340.5,264.0,294.0,294405.0
2025-04-24,260.70001220703125,296.1000061035156,253.5,294.29998779296875,197731.0
2025-04-25,237.60000610351562,255.3000030517578,230.39999389648438,251.6999969482422,116279.0
2025-04-28,213.3000030517578,319.5,210.0,312.6000061035156,879242.0
2025-04-29,181.5,222.3000030517578,175.1999969482422,221.10000610351562,351038.0
2025-04-30,161.39999389648438,177.89999389648438,150.0,172.5,280260.0
2025-05-01,146.10000610351562,171.0,138.3000030517578,159.3000030517578,270485.0
2025-05-02,131.39999389648438,155.6999969482422,125.4000015258789,152.5500030517578,338771.0
2025-05-05,119.4000015258789,130.47000122070312,111.0,129.30599975585938,253653.0
2025-05-06,105.5999984741211,113.68199920654297,103.5,111.0,187509.0
2025-05-07,73.19999694824219,117.0,66.30000305175781,116.8499984741211,1313339.0
2025-05-08,75.5999984741211,92.0999984741211,69.30000305175781,76.6500015258789,1346863.0
2025-05-09,70.19999694824219,74.4000015258789,64.80000305175781,74.0999984741211,476957.0
2025-05-12,93.9000015258789,104.4000015258789,70.5,70.80000305175781,1546400.0
2025-05-13,72.9000015258789,103.5,68.69999694824219,100.19999694824219,1215838.0
2025-05-14,63.0,75.0,58.20000076293945,74.69999694824219,922192.0
2025-05-15,53.849998474121094,67.19999694824219,50.400001525878906,61.5,881502.0
2025-05-16,49.5,55.5,43.5,53.70000076293945,1020964.0
2025-05-19,40.20000076293945,49.20000076293945,39.0,46.95000076293945,1065842.0
2025-05-20,38.099998474121094,50.099998474121094,35.099998474121094,46.95000076293945,2386588.0
2025-05-21,47.099998474121094,49.5,36.29999923706055,36.75,1878663.0
2025-05-22,65.0999984741211,65.0999984741211,49.5,51.0,3354566.0
2025-05-23,55.5,78.9000015258789,51.29999923706055,70.19999694824219,3917524.0
2025-05-27,46.20000076293945,61.5,44.400001525878906,57.900001525878906,1764803.0
2025-05-28,43.79999923706055,49.20000076293945,41.400001525878906,45.900001525878906,1318331.0
2025-05-29,47.70000076293945,52.5,41.400001525878906,44.70000076293945,1769212.0
2025-05-30,43.79999923706055,49.95000076293945,42.0,46.349998474121094,1193882.0
2025-06-02,40.5,43.5,37.5,43.04999923706055,1084925.0
2025-06-03,38.400001525878906,42.900001525878906,37.5,40.20000076293945,1287192.0
2025-06-04,36.29999923706055,38.400001525878906,35.400001525878906,37.95000076293945,1131625.0
2025-06-05,37.5,39.0,33.599998474121094,35.849998474121094,1352970.0
2025-06-06,34.5,37.5,33.599998474121094,35.70000076293945,1055912.0
2025-06-09,32.400001525878906,36.599998474121094,31.799999237060547,34.5,1200246.0
2025-06-10,33.29999923706055,33.599998474121094,28.799999237060547,31.799999237060547,1392565.0
2025-06-11,34.5,37.20000076293945,31.200000762939453,33.599998474121094,1256221.0
2025-06-12,33.0,34.79999923706055,32.70000076293945,33.45000076293945,373828.0
2025-06-13,25.80299949645996,29.277000427246094,25.5,28.125,2098071.0
2025-06-16,19.00200080871582,23.399999618530273,18.0,22.625999450683594,3015184.0
2025-06-17,19.799999237060547,24.0,16.875,18.26099967956543,2858723.0
2025-06-18,21.600000381469727,22.422000885009766,20.1299991607666,21.0,921916.0
2025-06-20,21.299999237060547,22.290000915527344,20.483999252319336,21.035999298095703,684522.0
2025-06-23,19.38599967956543,21.28499984741211,19.049999237060547,21.28499984741211,530988.0
2025-06-24,17.402999877929688,19.952999114990234,16.799999237060547,19.746000289916992,926221.0
2025-06-25,18.347999572753906,19.350000381469727,17.142000198364258,17.69099998474121,695603.0
2025-06-26,17.71500015258789,18.299999237060547,17.645999908447266,18.09000015258789,317071.0
2025-06-27,16.81800079345703,18.452999114990234,16.5,17.451000213623047,517987.0
2025-06-30,15.27299976348877,16.725000381469727,15.083999633789062,16.5,495280.0
2025-07-01,15.770999908447266,16.5,15.029999732971191,15.201000213623047,463923.0
2025-07-02,18.600000381469727,22.569000244140625,15.45300006866455,15.899999618530273,5245054.0
2025-07-03,20.459999084472656,21.899999618530273,18.975000381469727,21.05699920654297,1603463.0
2025-07-07,18.29400062561035,22.200000762939453,17.834999084472656,20.95199966430664,957417.0
2025-07-08,18.371999740600586,19.538999557495117,17.399999618530273,17.399999618530273,414110.0
2025-07-09,23.100000381469727,25.440000534057617,18.719999313354492,19.05299949645996,4285938.0
2025-07-10,21.54599952697754,26.399999618530273,20.700000762939453,26.100000381469727,1623779.0
2025-07-11,22.3439998626709,22.976999282836914,21.413999557495117,22.5,511819.0
2025-07-14,20.100000381469727,21.18000030517578,18.84000015258789,21.17099952697754,714969.0
2025-07-15,19.92300033569336,20.676000595092773,18.0,19.5,510844.0
2025-07-16,19.440000534057617,20.15999984741211,18.899999618530273,19.91699981689453,466934.0
2025-07-17,17.784000396728516,18.972000122070312,17.489999771118164,18.299999237060547,955680.0
2025-07-18,,,,,
