signal_type,analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,hit_rate,avg_return,trade_count,tickers_count,avg_off_exchange_pct
ACCUMULATION_STRONG,2,1,15,0.5,54.54545454545454,1.2790551388917337,22,29,35.99090909090909
ACCUMULATION_MODERATE,2,1,15,0.5,64.28571428571429,1.959958430569438,14,29,43.189285714285724
DISTRIBUTION_STRONG,2,1,15,0.5,26.666666666666668,-0.16305274464825537,15,29,37.986666666666665
ACCUMULATION_STRONG,2,1,15,1.0,62.7906976744186,0.808754928541008,43,29,35.78023255813953
DISTRIBUTION_STRONG,2,1,15,1.0,40.0,-0.8963474243501532,15,29,39.349999999999994
ACCUMULATION_MODERATE,2,1,15,1.0,63.63636363636363,1.2666180963701779,22,29,39.98636363636364
ACCUMULATION_STRONG,2,1,15,1.5,60.3448275862069,0.7247957120204762,58,29,37.01120689655173
DISTRIBUTION_STRONG,2,1,15,1.5,50.0,-0.4985560675179257,14,29,38.9
ACCUMULATION_MODERATE,2,1,15,1.5,64.28571428571429,1.18368214384655,28,29,39.70892857142858
ACCUMULATION_STRONG,2,1,15,2.0,58.46153846153847,0.6310849291299476,65,29,36.68538461538461
DISTRIBUTION_STRONG,2,1,15,2.0,42.857142857142854,-0.915108517078537,14,29,44.510714285714286
ACCUMULATION_MODERATE,2,1,15,2.0,69.6969696969697,1.3349821007679699,33,29,40.151515151515156
ACCUMULATION_STRONG,2,1,20,0.5,47.368421052631575,1.254570563936167,19,29,38.79473684210526
ACCUMULATION_MODERATE,2,1,20,0.5,64.28571428571429,1.959958430569438,14,29,43.189285714285724
DISTRIBUTION_STRONG,2,1,20,0.5,28.57142857142857,-0.15886006763757157,14,29,39.47142857142857
ACCUMULATION_STRONG,2,1,20,1.0,55.55555555555556,0.8200179710011726,36,29,39.325
DISTRIBUTION_STRONG,2,1,20,1.0,42.857142857142854,-0.9382897599178176,14,29,40.82857142857142
ACCUMULATION_MODERATE,2,1,20,1.0,63.63636363636363,1.2666180963701779,22,29,39.98636363636364
ACCUMULATION_STRONG,2,1,20,1.5,54.0,0.7294636319912727,50,29,40.103
DISTRIBUTION_STRONG,2,1,20,1.5,50.0,-0.4985560675179257,14,29,38.9
ACCUMULATION_MODERATE,2,1,20,1.5,64.28571428571429,1.18368214384655,28,29,39.70892857142858
