analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,trade_count,avg_return,hit_rate,avg_off_exchange
2,7,20,2.5,2060,1.971,59.612,40.889
2,7,25,0.5,503,1.96,61.829,40.679
2,7,25,1.0,967,1.735,59.255,40.762
2,7,25,1.5,1404,1.902,59.972,40.912
2,7,25,2.0,1768,1.935,59.842,40.936
2,7,25,2.5,2039,1.968,59.539,41.073
2,7,30,0.5,477,1.929,62.264,41.395
2,7,30,1.0,923,1.706,59.372,41.39
2,7,30,1.5,1335,1.899,60.075,41.592
2,7,30,2.0,1676,1.95,59.845,41.65
2,7,30,2.5,1935,1.996,59.587,41.78
2,7,35,0.5,389,1.987,60.925,43.342
2,7,35,1.0,742,1.653,57.817,43.53
2,7,35,1.5,1086,1.893,59.208,43.654
2,7,35,2.0,1374,2.006,59.243,43.633
2,7,35,2.5,1594,2.024,58.908,43.732
2,7,40,0.5,221,2.328,61.538,47.661
2,7,40,1.0,427,1.952,58.548,47.95
2,7,40,1.5,645,2.159,60.0,47.762
2,7,40,2.0,819,2.412,60.562,47.705
2,7,40,2.5,959,2.483,60.063,47.796
2,7,45,0.5,114,4.208,64.912,53.069
2,7,45,1.0,223,3.197,60.538,53.383
2,7,45,1.5,332,2.87,60.241,53.139
2,7,45,2.0,418,3.153,60.526,53.043
2,7,45,2.5,492,3.227,59.959,53.203
2,7,50,0.5,58,4.385,60.345,58.507
2,7,50,1.0,119,4.011,57.983,58.693
2,7,50,1.5,166,3.333,55.422,58.94
2,7,50,2.0,210,4.256,58.571,58.711
2,7,50,2.5,248,4.608,59.677,59.065
3,1,20,0.5,378,0.671,60.317,40.797
3,1,20,1.0,742,0.417,56.469,40.257
3,1,20,1.5,1103,0.493,56.301,40.591
3,1,20,2.0,1385,0.473,55.668,40.555
3,1,20,2.5,1646,0.461,55.164,40.848
3,1,25,0.5,375,0.677,60.533,40.934
3,1,25,1.0,736,0.42,56.386,40.387
3,1,25,1.5,1095,0.489,56.164,40.713
3,1,25,2.0,1374,0.471,55.604,40.688
3,1,25,2.5,1635,0.46,55.107,40.961
3,1,30,0.5,360,0.65,60.278,41.501
3,1,30,1.0,701,0.405,55.92,41.009
3,1,30,1.5,1046,0.494,55.927,41.31
3,1,30,2.0,1311,0.486,55.378,41.298
3,1,30,2.5,1567,0.47,54.882,41.526
3,1,35,0.5,288,0.699,60.764,43.67
3,1,35,1.0,556,0.359,55.576,43.167
3,1,35,1.5,826,0.503,55.811,43.589
3,1,35,2.0,1041,0.499,55.62,43.507
3,1,35,2.5,1255,0.478,54.98,43.693
3,1,40,0.5,161,0.551,59.006,48.397
3,1,40,1.0,307,0.306,54.723,47.672
3,1,40,1.5,471,0.51,54.989,48.095
3,1,40,2.0,588,0.518,55.442,48.054
3,1,40,2.5,723,0.531,54.91,48.155
3,1,45,0.5,88,0.387,61.364,53.377
3,1,45,1.0,157,0.296,57.325,53.007
3,1,45,1.5,243,0.461,56.79,53.667
3,1,45,2.0,301,0.502,57.143,53.692
3,1,45,2.5,370,0.519,55.676,53.862
3,1,50,0.5,42,-0.136,47.619,60.16
3,1,50,1.0,77,0.224,53.247,59.13
3,1,50,1.5,132,0.497,56.061,59.112
3,1,50,2.0,169,0.572,56.805,58.783
3,1,50,2.5,211,0.536,54.976,58.881
3,2,20,0.5,370,1.061,58.919,40.832
3,2,20,1.0,731,0.595,54.993,40.276
3,2,20,1.5,1089,0.682,54.913,40.594
3,2,20,2.0,1370,0.586,54.015,40.559
3,2,20,2.5,1631,0.564,53.648,40.854
3,2,25,0.5,367,1.107,59.401,40.972
3,2,25,1.0,725,0.616,55.034,40.409
3,2,25,1.5,1081,0.685,54.949,40.718
3,2,25,2.0,1359,0.588,54.084,40.694
3,2,25,2.5,1620,0.565,53.704,40.968
3,2,30,0.5,352,1.069,58.523,41.554
3,2,30,1.0,690,0.591,54.493,41.042
3,2,30,1.5,1032,0.689,54.457,41.323
3,2,30,2.0,1296,0.6,53.704,41.31
3,2,30,2.5,1552,0.575,53.351,41.539
3,2,35,0.5,283,1.047,57.597,43.691
3,2,35,1.0,549,0.369,53.552,43.179
3,2,35,1.5,816,0.585,53.676,43.594
3,2,35,2.0,1030,0.513,52.816,43.516
3,2,35,2.5,1244,0.482,52.01,43.701
3,2,40,0.5,158,0.785,53.797,48.458
3,2,40,1.0,302,0.443,52.649,47.737
3,2,40,1.5,464,0.695,52.586,48.139
3,2,40,2.0,581,0.599,52.496,48.089
3,2,40,2.5,716,0.551,52.235,48.184
