date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-03-18,GOOGL,42074800,160.47572326660156,163.48207822407835,164.05139632119491,156.5305024761992,14358409,4528130,10148,27716391,34.1,65.9,31.5
2025-03-19,GOOGL,34275600,163.69183349609375,161.56440408660148,165.6694351323274,160.8053285192439,10402422,3350049,4187,23873178,30.3,69.7,32.2
2025-03-20,GOOGL,28138500,162.6031494140625,161.37464096618422,164.6906185813501,160.76537795311089,8876576,2893073,4998,19261924,31.5,68.5,32.6
2025-03-21,GOOGL,36625800,163.79171752929688,161.01508017617863,164.04141524263727,160.69545978774022,7915010,2807952,13003,28710790,21.6,78.4,35.5
2025-03-24,GOOGL,30879100,167.4772491455078,166.86800133324036,168.11648994593173,164.94032699026835,9500129,2811753,5221,21378971,30.8,69.2,29.6
2025-03-25,GOOGL,24174400,170.353759765625,168.775668441695,170.42368243836484,168.1164780833655,8498996,2947372,3954,15675404,35.2,64.8,34.7
2025-03-26,GOOGL,28901600,164.86041259765625,168.79565092149923,169.40491393976436,164.64067739498105,9908460,2939387,11273,18993140,34.3,65.7,29.7
2025-03-27,GOOGL,24508300,162.04383850097656,164.43094810403895,165.21998619662182,161.8041232023028,8385911,2130168,28857,16122389,34.2,65.8,25.4
2025-03-28,GOOGL,48669300,154.14340209960938,160.29595772818402,161.62435145983125,153.44425151462127,16172518,3842029,17802,32496782,33.2,66.8,23.8
2025-03-31,GOOGL,54603500,154.45301818847656,152.9248693898488,155.3519238675497,150.47783482762614,17494895,2784823,44695,37108605,32.0,68.0,15.9
2025-04-01,GOOGL,30672900,156.8800811767578,153.43424066067087,157.9088345005831,153.43424066067087,11999001,1354795,11762,18673899,39.1,60.9,11.3
2025-04-02,GOOGL,25041700,156.85011291503906,154.9623987635517,158.21846678254826,154.51294591611935,10157605,1925726,62243,14884095,40.6,59.4,19.0
2025-04-03,GOOGL,46883400,150.5377655029297,150.92729334389097,152.59527231622977,150.20816267744866,15745611,3467454,20999,31137789,33.6,66.4,22.0
2025-04-04,GOOGL,62259500,145.4239501953125,147.83102450056057,150.8873372265073,145.20421499461688,20619972,4163321,23735,41639528,33.1,66.9,20.2
2025-04-07,GOOGL,76794100,146.5725555419922,141.37884623013926,152.66518575265,140.3600753076292,21288617,4859855,47927,55505483,27.7,72.3,22.8
2025-04-08,GOOGL,52200200,144.52503967285156,151.0371605852081,152.05593156691467,142.85706070456766,16013074,5700545,10261,36187126,30.7,69.3,35.6
2025-04-09,GOOGL,70406200,158.51809692382812,144.24536764564118,159.3570775505851,143.73598981661124,19770243,5557560,7910,50635957,28.1,71.9,28.1
2025-04-10,GOOGL,48022000,152.63522338867188,156.35071129003578,157.5292924054746,149.74870323215254,13848532,5042537,5256,34173468,28.8,71.2,36.4
2025-04-11,GOOGL,33636200,156.9499969482422,152.71511816628092,157.47935489094493,152.63522830805417,10015300,5107733,3120,23620900,29.8,70.2,51.0
2025-04-14,GOOGL,30333000,158.87767028808594,159.80653847762434,161.52445998548595,157.3694863273863,9993743,4096244,9863,20339257,32.9,67.1,41.0
2025-04-15,GOOGL,27551500,156.12100219726562,158.93759983361085,159.4569601254283,155.02234135810752,10158939,2908211,5761,17392561,36.9,63.1,28.6
2025-04-16,GOOGL,28187400,153.1446075439453,152.91488990871326,155.70150975970526,151.326800825977,8691684,2134202,2602,19495716,30.8,69.2,24.6
2025-04-17,GOOGL,33046600,150.97723388671875,154.10343899442373,154.49296683009544,148.32044647401452,10808680,3038368,14746,22237920,32.7,67.3,28.1
2025-04-21,GOOGL,26049100,147.49143981933594,148.69998342759925,148.76989086061988,145.9233461435289,8625470,1931766,17694,17423630,33.1,66.9,22.4
2025-04-22,GOOGL,26971800,151.28684997558594,148.70996777577147,152.0059806006662,148.360384885124,9395976,2673492,12556,17575824,34.8,65.2,28.5
2025-04-23,GOOGL,31128800,155.16217041015625,155.42185055428513,157.3395272287139,153.62402390940207,10081905,3390736,4342,21046895,32.4,67.6,33.6
2025-04-24,GOOGL,45894000,159.08740234375,155.96118216578617,159.39702506290834,155.60161685700967,12474935,3912145,11267,33419065,27.2,72.8,31.4
2025-04-25,GOOGL,56034000,161.76417541503906,164.8704156189098,165.89916899199292,160.84527440652565,22276779,8001093,48958,33757221,39.8,60.2,35.9
2025-04-28,GOOGL,29745800,160.41580200195312,162.2335934576757,162.9527241022343,158.40823784275827,12133248,3244400,17347,17612552,40.8,59.2,26.7
2025-04-29,GOOGL,26809000,159.9663543701172,160.12616457196697,160.54565492156792,157.32954700095436,11649601,3645725,23266,15159399,43.5,56.5,31.3
2025-04-30,GOOGL,34981100,158.6079864501953,157.78897065630795,159.07741935833297,155.2120884925965,10242475,2898949,7329,24738625,29.3,70.7,28.3
2025-05-01,GOOGL,30203200,161.10496520996094,160.255986901565,161.7541731584952,158.7178557168657,9840338,3687059,7439,20362862,32.6,67.4,37.5
2025-05-02,GOOGL,25715000,163.8316650390625,163.21241957712974,164.77053089446972,161.6742731041275,9411364,3623578,6636,16303636,36.6,63.4,38.5
2025-05-05,GOOGL,21341800,164.01145935058594,162.80291566353057,165.19002528971967,162.52325543253818,7188908,2596348,2710,14152892,33.7,66.3,36.1
2025-05-06,GOOGL,21277200,163.03262329101562,161.97390744721895,164.60073221310822,160.99509669884785,5900940,2079829,3180,15376260,27.7,72.3,35.2
2025-05-07,GOOGL,127490100,151.19696044921875,163.88160091924024,164.8004866523399,147.6612323828153,58491574,21844397,161226,68998526,45.9,54.1,37.3
2025-05-08,GOOGL,57498700,154.0934600830078,154.81259075606965,155.74145898524296,152.715123752916,21416408,7228960,10428,36082292,37.2,62.8,33.8
