Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Aumento_Volume_%,Tamanho_Rompimento_%,Retorno_5d,Retorno_Máximo_5d,Retorno_Mínimo_5d,Retorno_10d,Retorno_Máximo_10d,Retorno_Mínimo_10d,Retorno_20d,Retorno_Máximo_20d,Retorno_Mínimo_20d
2025-07-17 00:00:00,AIR,85.0999984741211,1812000.0,393620.0,360.34,11.59,,,,,,,,,
2025-05-02 00:00:00,AIRS,3.0199999809265137,3589900.0,146380.0,2352.45,31.3,-0.99,4.3,-33.11,18.21,23.18,-33.11,47.68,51.66,-33.11
2025-05-19 00:00:00,AISP,5.369999885559082,4542700.0,639700.0,610.13,19.07,-2.05,7.64,-17.5,-9.12,7.64,-17.5,-7.64,7.64,-17.5
2025-03-14 00:00:00,AKBA,2.259999990463257,13249900.0,3134490.0,322.71,4.15,-5.75,27.88,-22.35,-15.49,27.88,-22.35,-26.99,27.88,-32.74
2025-05-20 00:00:00,AKRO,47.56999969482422,6819400.0,1336120.0,410.39,2.37,-4.73,6.24,-20.35,11.39,12.42,-20.35,15.41,19.97,-20.35
2025-06-09 00:00:00,ALAR,11.329999923706056,1553000.0,143100.0,985.26,29.04,1.85,11.74,-15.45,15.89,27.27,-15.45,21.62,29.13,-15.45
2025-05-12 00:00:00,ALLT,7.869999885559082,1580500.0,213720.0,639.52,22.59,3.68,10.55,-14.87,4.32,10.55,-14.87,10.55,15.12,-14.87
2025-05-23 00:00:00,ALMU,14.140000343322754,407600.0,135770.0,200.21,2.69,16.2,24.47,-18.03,30.69,36.85,-18.03,-1.06,37.91,-27.86
2025-06-03 00:00:00,ALMU,19.100000381469727,1133200.0,318100.0,256.24,8.52,-0.58,2.09,-13.14,-34.03,2.09,-46.6,-19.42,2.09,-46.6
2025-03-21 00:00:00,ALNY,283.3399963378906,3150300.0,645120.0,388.33,7.61,-5.25,6.2,-7.88,-16.8,6.2,-16.86,-17.85,6.2,-27.34
2025-05-30 00:00:00,ALNY,304.5599975585937,3116200.0,892600.0,249.11,2.12,-1.22,1.86,-5.7,1.13,1.86,-5.7,7.07,7.44,-5.7
2025-05-23 00:00:00,ALTS,8.90999984741211,904000.0,184690.0,389.47,23.07,1.12,16.72,-18.52,11.45,22.9,-18.52,10.77,22.9,-18.52
2025-07-17 00:00:00,AMBC,8.649999618530273,3257600.0,1006650.0,223.61,7.19,,,,,,,,,
2025-02-26 00:00:00,AMBP,2.804945945739746,4198800.0,1133060.0,270.57,2.83,-4.47,10.31,-6.87,-4.81,10.31,-6.87,4.81,10.31,-6.87
2025-02-27 00:00:00,AMBP,3.0459206104278564,5875800.0,1443640.0,307.01,8.59,-12.03,1.58,-14.24,-10.7,1.58,-14.24,-2.16,1.58,-14.24
2025-04-24 00:00:00,AMBP,3.5999999046325684,10767700.0,1321680.0,714.7,16.13,3.06,5.97,-18.61,0.56,5.97,-18.61,6.94,10.83,-18.61
2025-05-27 00:00:00,AMC,4.010000228881836,67202100.0,11661970.0,476.25,20.06,-16.96,1.75,-17.21,-16.71,1.75,-19.45,-25.69,1.75,-26.93
2025-06-24 00:00:00,AMLX,6.409999847412109,4216100.0,983990.0,328.47,5.43,0.0,4.52,-17.13,12.95,15.37,-17.13,,,
2025-07-16 00:00:00,AMPG,2.640000104904175,1251400.0,287470.0,335.31,7.8,,,,,,,,,
