signal_type,analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,hit_rate,avg_return,trade_count,tickers_count,avg_off_exchange_pct
ACCUMULATION_MODERATE,2,2,35,0.5,80.0,2.7935908035964734,10,29,48.22
ACCUMULATION_STRONG,2,3,15,0.5,83.33333333333334,0.780163489566563,18,29,33.98888888888888
ACCUMULATION_STRONG,2,3,20,0.5,80.0,0.5185554898214216,15,29,37.14
ACCUMULATION_STRONG,2,3,25,0.5,84.61538461538461,1.1533466445735234,13,29,39.45
ACCUMULATION_STRONG,2,3,30,0.5,84.61538461538461,1.1533466445735234,13,29,39.45
ACCUMULATION_STRONG,2,3,35,0.5,80.0,1.2670194336679608,10,29,41.815000000000005
ACCUMULATION_MODERATE,2,4,15,0.5,85.71428571428571,4.457798029047337,7,29,36.192857142857136
ACCUMULATION_MODERATE,2,4,20,0.5,85.71428571428571,4.457798029047337,7,29,36.192857142857136
ACCUMULATION_MODERATE,2,4,25,0.5,83.33333333333334,4.5479330974973236,6,29,38.55833333333334
ACCUMULATION_MODERATE,2,4,30,0.5,83.33333333333334,4.5479330974973236,6,29,38.55833333333334
ACCUMULATION_MODERATE,2,4,35,0.5,80.0,5.424973217253292,5,29,40.08
ACCUMULATION_STRONG,2,5,15,1.0,80.0,1.354235306673183,20,29,28.43
ACCUMULATION_MODERATE,2,5,15,1.5,80.0,7.336068823686868,5,29,32.88
ACCUMULATION_MODERATE,2,5,15,2.0,83.33333333333334,6.583232541489611,6,29,34.074999999999996
ACCUMULATION_MODERATE,2,5,20,1.5,80.0,7.336068823686868,5,29,32.88
ACCUMULATION_MODERATE,2,5,20,2.0,83.33333333333334,6.583232541489611,6,29,34.074999999999996
ACCUMULATION_STRONG,2,5,25,0.5,83.33333333333334,2.8870008344063742,6,29,39.516666666666666
ACCUMULATION_MODERATE,2,5,25,2.0,80.0,7.025616414258988,5,29,36.489999999999995
ACCUMULATION_STRONG,2,5,30,0.5,83.33333333333334,2.8870008344063742,6,29,39.516666666666666
ACCUMULATION_MODERATE,2,5,30,2.0,80.0,7.025616414258988,5,29,36.489999999999995
ACCUMULATION_STRONG,2,6,15,1.0,91.66666666666666,2.7379040604792326,12,29,20.575
ACCUMULATION_STRONG,2,6,15,1.5,86.66666666666667,3.941488468379072,15,29,20.603333333333335
ACCUMULATION_STRONG,2,6,15,2.0,87.5,3.7481351448136717,16,29,20.709374999999998
ACCUMULATION_STRONG,3,2,15,0.5,85.71428571428571,1.7762509430325122,7,29,42.11428571428571
ACCUMULATION_STRONG,3,2,15,1.0,81.25,1.2285807664855621,16,29,34.047916666666666
ACCUMULATION_STRONG,3,2,20,0.5,85.71428571428571,1.7762509430325122,7,29,42.11428571428571
ACCUMULATION_STRONG,3,2,20,1.0,81.25,1.2285807664855621,16,29,34.047916666666666
ACCUMULATION_STRONG,3,2,25,0.5,85.71428571428571,1.7762509430325122,7,29,42.11428571428571
ACCUMULATION_STRONG,3,2,25,1.0,85.71428571428571,1.1627486337965163,14,29,35.70238095238095
ACCUMULATION_STRONG,3,2,25,1.5,80.0,1.0147487959948367,20,29,36.748333333333335
ACCUMULATION_STRONG,3,2,30,0.5,85.71428571428571,1.7762509430325122,7,29,42.11428571428571
ACCUMULATION_STRONG,3,2,30,1.0,81.81818181818183,0.9849048351863471,11,29,38.303030303030305
ACCUMULATION_STRONG,3,2,35,1.5,83.33333333333334,1.3236682123714072,6,29,51.77222222222222
ACCUMULATION_STRONG,3,2,40,2.0,80.0,1.6968953017225474,5,29,58.06
ACCUMULATION_STRONG,3,3,15,0.5,100.0,2.496568741853588,5,29,43.31333333333333
ACCUMULATION_STRONG,3,3,15,1.0,83.33333333333334,1.6083350401831342,12,29,33.552777777777784
ACCUMULATION_MODERATE,3,3,15,1.5,81.81818181818183,1.2445839136740025,11,29,38.77878787878788
DISTRIBUTION_STRONG,3,3,15,2.0,80.0,1.3893144201258132,5,29,38.93333333333333
ACCUMULATION_STRONG,3,3,20,0.5,100.0,2.496568741853588,5,29,43.31333333333333
ACCUMULATION_STRONG,3,3,20,1.0,83.33333333333334,1.6083350401831342,12,29,33.552777777777784
ACCUMULATION_MODERATE,3,3,20,1.5,81.81818181818183,1.2445839136740025,11,29,38.77878787878788
DISTRIBUTION_STRONG,3,3,20,2.0,80.0,1.3893144201258132,5,29,38.93333333333333
ACCUMULATION_STRONG,3,3,25,0.5,100.0,2.496568741853588,5,29,43.31333333333333
ACCUMULATION_STRONG,3,3,25,1.0,80.0,1.4506034685542224,10,29,35.77
ACCUMULATION_MODERATE,3,3,25,1.5,81.81818181818183,1.2445839136740025,11,29,38.77878787878788
DISTRIBUTION_STRONG,3,3,25,2.0,80.0,1.3893144201258132,5,29,38.93333333333333
ACCUMULATION_STRONG,3,3,30,0.5,100.0,2.496568741853588,5,29,43.31333333333333
ACCUMULATION_STRONG,3,3,30,1.0,85.71428571428571,1.3539269114760593,7,29,39.885714285714286
ACCUMULATION_MODERATE,3,3,30,1.5,81.81818181818183,1.2445839136740025,11,29,38.77878787878788
ACCUMULATION_MODERATE,3,3,35,1.0,80.0,0.8848601451091126,5,29,44.36
ACCUMULATION_MODERATE,3,3,35,1.5,85.71428571428571,1.293537276894939,7,29,42.442857142857136
ACCUMULATION_STRONG,3,3,35,2.0,85.71428571428571,1.887834583288981,7,29,51.109523809523814
ACCUMULATION_MODERATE,3,3,35,2.0,80.0,0.36248949340819064,10,29,42.39666666666667
ACCUMULATION_STRONG,3,4,15,1.0,85.71428571428571,0.7965577775022817,7,29,26.580952380952375
ACCUMULATION_MODERATE,3,4,15,1.5,100.0,1.888397173904816,6,29,35.30555555555556
ACCUMULATION_STRONG,3,4,20,1.0,85.71428571428571,0.7965577775022817,7,29,26.580952380952375
ACCUMULATION_MODERATE,3,4,20,1.5,100.0,1.888397173904816,6,29,35.30555555555556
ACCUMULATION_STRONG,3,4,25,1.0,80.0,0.15744312890160445,5,29,28.226666666666667
ACCUMULATION_MODERATE,3,4,25,1.5,100.0,1.888397173904816,6,29,35.30555555555556
ACCUMULATION_MODERATE,3,4,30,1.5,100.0,1.888397173904816,6,29,35.30555555555556
ACCUMULATION_MODERATE,4,1,35,1.0,80.0,1.1780466360280912,5,29,46.945
