symbol,signal_type,probability,confidence,expected_return,sample_size,description,current_price,off_exchange_pct,off_exchange_trend,price_change_3d,period
GOOGL,BUY,66.7,MÉDIA-ALTA,0.52,3,Acumulação crescendo,192.1699981689453,35.67969373338465,108.52336580635634,0.4337837602907363,22/07 - 24/07
RKLB,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,48.130001068115234,51.89208552233232,-46.088853111838446,2.6663821918088004,22/07 - 24/07
INTR,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,6.730000019073486,41.58346874449382,-43.95084168224278,0.2980623071954087,22/07 - 24/07
WBD,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,13.5,70.91979040910674,60.65442128243615,5.0583626399544706,22/07 - 24/07
DDOG,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,146.55999755859375,41.7214226157389,-26.321547980403924,1.15259726411775,22/07 - 24/07
MRVL,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,74.04000091552734,40.601819051616104,-4.483969539515787,2.8476220483255763,22/07 - 24/07
SOUN,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,11.960000038146973,63.69911339555704,119.2869515833622,5.467371051292203,22/07 - 24/07
ZETA,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,15.890000343322754,45.47344447036946,8.219688243251433,1.728556080293517,22/07 - 24/07
SNPS,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,609.6799926757812,42.29767567224759,-53.03283141717454,-0.8859935564465798,22/07 - 24/07
AVAV,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,271.20001220703125,42.65624564241292,-10.595074405467464,3.3221582047089013,22/07 - 24/07
NVDA,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,173.74000549316406,48.702219806707994,-30.60443655625791,4.0172464604597025,22/07 - 24/07
AMD,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,162.1199951171875,50.823445988242824,7.418475466409036,4.782829523074086,22/07 - 24/07
TLN,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,339.1600036621094,42.42749463568507,-43.825773687686095,8.157413797180817,22/07 - 24/07
OUST,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,28.299999237060547,51.181421823906994,-54.390365710554576,3.3601172552708967,22/07 - 24/07
ANET,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,114.04000091552734,44.29589188873987,-39.7969857127275,3.8804902382945294,22/07 - 24/07
SVM,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,4.769999980926514,70.08317190762145,-39.51424812367311,0.0,22/07 - 24/07
BBAI,SELL_MODERATE,52.9,MÉDIA,2.37,17,Distribuição massiva,7.800000190734863,67.38484985300339,5.164282800878839,5.834468274800546,22/07 - 24/07
QS,SELL_WEAK,44.4,BAIXA,-0.73,9,Distribuição desacelerando,12.630000114440918,46.928300216336254,-29.255454778623125,-8.478261305238734,22/07 - 24/07
U,SELL_WEAK,44.4,BAIXA,-0.73,9,Distribuição desacelerando,33.34000015258789,43.41637814939605,-49.51774656554079,-2.600056679960714,22/07 - 24/07
FCX,SELL_WEAK,44.4,BAIXA,-0.73,9,Distribuição desacelerando,44.58000183105469,41.38756944726652,-24.405000194097493,-2.663749839145541,22/07 - 24/07
