ticker,ratio,volume_1d,volume_10d,volume_usd_1d,volume_usd_10d,price,price_90d_avg,change_1d,change_30d,score,sector,industry
MEIP,318.0694115523335,27339280.0,120110.0,145991759.37164307,458993.39599847794,5.340000152587891,2.309555553065406,0.0,148.37208910333987,318.0694115523335,Healthcare,Biotechnology
BZAI,62.29029850099072,40592908.0,997110.0,186317389.11053848,2991114.083480835,4.589900016784668,2.649610000186496,0.0,76.5346225054309,62.29029850099072,Technology,Software - Application
KELYB,29.639898259777844,7550.0,260.0,94450.50172805786,3186.6000652313232,12.510000228881836,12.100886005825467,0.0,9.353152864911944,29.639898259777844,Unknown,Unknown
LAWR,11.546197748208627,19586713.0,1889148.0,76779916.4543476,6649800.923967361,3.920000076293945,3.7200000286102295,0.0,0.0,11.546197748208627,Unknown,Unknown
NZUS,8.47686556244477,5547.0,660.0,184770.57761764526,21797.03998565674,33.310001373291016,30.549224789937337,0.0,5.561720967016983,8.47686556244477,Unknown,Unknown
RFEU,8.3796307321684,1262.0,150.0,87189.05276489258,10404.880065917969,69.08799743652344,65.92884004380969,0.0,1.229023250531353,8.3796307321684,Unknown,Unknown
LCCC,7.558068923078549,259200.0,34300.0,2601071.9604492188,344145.04378318787,10.03499984741211,10.023578794378983,0.0,0.0,7.558068923078549,Financial Services,Shell Companies
SPAI,6.93389995554762,758899.0,108090.0,2808002.1482124333,404967.21415281296,3.70009994506836,2.8319788959291246,0.0,38.5805183273339,6.93389995554762,Industrials,Aerospace & Defense
GTEN,6.455470895120645,239083.0,37090.0,2443428.3238420486,378505.04843711853,10.220000267028809,10.21710531335128,0.0,0.0,6.455470895120645,Unknown,Unknown
MYMI,5.445432676406662,1200.0,220.0,29171.99935913086,5357.14994430542,24.309999465942383,24.188277117411296,0.0,0.7144751365149673,5.445432676406662,Unknown,Unknown
UYSC,5.363735624610416,57351.0,10710.0,578098.0756244661,107779.00256156921,10.079999923706056,10.036973051122716,0.0,0.49850640145584013,5.363735624610416,Financial Services,Shell Companies
GJP,5.179893971081368,4111.0,800.0,102775.0,19841.13971710205,25.0,24.395159170362685,0.0,2.996632131457121,5.179893971081368,Unknown,Unknown
NAK_20250718_1011,4.468748729752743,108775800.0,19592060.0,177304553.48131657,39676554.714484215,1.6299999952316284,1.1768888917234208,0.0,35.833327538437544,4.468748729752743,Unknown,Unknown
AERT,3.660531217373446,151636.0,40160.0,157746.9325642586,43094.00007724762,1.0403000116348269,0.7776811116271549,0.0,50.76811814919115,3.660531217373446,Industrials,Consulting Services
MESO,3.516752438783435,540598.0,206550.0,8127890.8475112915,2311192.2118473053,15.03499984741211,11.599944432576498,0.0,29.500433178437234,3.516752438783435,Unknown,Unknown
