Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d
2025-05-01 00:00:00,AB,40.03819274902344,728100.0,299370.0,2.15,40.9,1.0,40.44,-0.22,39.95
2025-03-27 00:00:00,ABAT,1.1799999475479126,3171900.0,757610.0,-14.41,1.01,-18.05,0.97,-2.54,1.15
2025-04-29 00:00:00,ABAT,1.5299999713897705,7622200.0,848480.0,-7.84,1.41,-8.5,1.4,-11.11,1.36
2025-04-30 00:00:00,ABAT,1.7100000381469729,9717100.0,1517200.0,-21.64,1.34,-7.6,1.58,-21.64,1.34
2025-07-16 00:00:00,ABAT,2.0899999141693115,6728200.0,2921580.0,,,,,,
2025-07-17 00:00:00,ABAT,2.359999895095825,13446400.0,3178290.0,,,,,,
2025-02-28 00:00:00,ABBV,205.3423767089844,13136400.0,5451180.0,2.52,210.51,1.31,208.03,-1.79,201.67
2025-04-29 00:00:00,ABCB,58.8182373046875,1006100.0,462790.0,1.1,59.47,7.76,63.38,4.39,61.4
2025-06-27 00:00:00,ABCB,64.72000122070312,657500.0,363240.0,3.57,67.03,5.59,68.34,,
2025-06-10 00:00:00,ABCL,3.0199999809265137,18779000.0,3393500.0,3.31,3.12,25.83,3.8,40.73,4.25
2025-06-11 00:00:00,ABCL,3.2300000190734863,20132000.0,5059650.0,7.43,3.47,15.79,3.74,24.15,4.01
2025-04-30 00:00:00,ABEO,6.559999942779541,18507600.0,2620410.0,-19.66,5.27,-17.84,5.39,-6.1,6.16
2025-02-27 00:00:00,ABEV,2.09016227722168,40318500.0,19009570.0,4.74,2.19,6.16,2.22,10.52,2.31
2025-03-05 00:00:00,ABEV,2.169410228729248,42515200.0,21661930.0,0.46,2.18,9.25,2.37,8.79,2.36
2025-03-14 00:00:00,ABEV,2.2783758640289307,52519300.0,25669300.0,3.58,2.36,0.07,2.28,-1.25,2.25
2025-03-17 00:00:00,ABEV,2.317999839782715,54372600.0,27191840.0,-0.78,2.3,0.52,2.33,-1.21,2.29
2025-04-03 00:00:00,ABEV,2.4200000762939453,48158500.0,22729060.0,-6.61,2.26,-0.83,2.4,2.89,2.49
2025-07-10 00:00:00,ABG,265.9700012207031,327800.0,159560.0,-13.7,229.52,,,,
2025-07-09 00:00:00,ABIG,30.28499984741211,16400.0,6510.0,-0.47,30.14,,,,
2025-05-09 00:00:00,ABL,8.829999923706055,765600.0,310460.0,0.91,8.91,-7.47,8.17,-30.01,6.18
2025-04-24 00:00:00,ABLV,1.25,53200.0,25370.0,3.2,1.29,12.0,1.4,-12.4,1.1
2025-06-06 00:00:00,ABNB,140.63999938964844,9053500.0,5845420.0,-3.63,135.54,-7.19,130.53,-2.6,136.99
2025-06-09 00:00:00,ABOS,1.2699999809265137,461300.0,264970.0,-10.24,1.14,-0.79,1.26,-1.57,1.25
2025-07-11 00:00:00,ABOS,1.399999976158142,1455300.0,780990.0,9.5,1.53,,,,
2025-02-28 00:00:00,ABT,136.759765625,8756100.0,5164390.0,-0.63,135.9,-8.19,125.56,-5.21,129.63
2025-06-24 00:00:00,ABT,137.4629669189453,9894700.0,5459870.0,-1.32,135.65,-3.52,132.62,,
2025-05-09 00:00:00,ABTS,8.40999984741211,5986800.0,32160.0,-54.93,3.79,-54.58,3.82,-46.73,4.48
2025-07-02 00:00:00,ABTS,5.090000152587891,269600.0,28230.0,-12.18,4.47,1.18,5.15,,
2025-07-11 00:00:00,ABTS,5.880000114440918,142100.0,51970.0,-12.41,5.15,,,,
2025-03-28 00:00:00,ABVC,0.8600000143051147,220900.0,83680.0,-13.72,0.74,6.28,0.91,16.28,1.0
2025-03-31 00:00:00,ABVC,1.059999942779541,843900.0,94020.0,-21.7,0.83,-13.21,0.92,-2.83,1.03
2025-04-01 00:00:00,ABVC,1.3200000524520874,2020700.0,166010.0,-32.2,0.89,-32.2,0.89,-19.7,1.06
2025-05-07 00:00:00,ABVC,1.2699999809265137,298800.0,152020.0,14.96,1.46,-6.3,1.19,18.11,1.5
2025-05-08 00:00:00,ABVC,1.3200000524520874,320100.0,169410.0,-8.33,1.21,-8.33,1.21,16.67,1.54
2025-05-13 00:00:00,ABVC,1.6799999475479126,708300.0,212920.0,-18.45,1.37,-18.45,1.37,-0.6,1.67
2025-06-17 00:00:00,ABVC,2.0,646100.0,331220.0,6.0,2.12,55.0,3.1,79.0,3.58
2025-06-27 00:00:00,ABVC,2.5899999141693115,812600.0,330010.0,54.05,3.99,35.52,3.51,,
2025-07-02 00:00:00,ABVC,3.0999999046325684,1171500.0,443140.0,8.06,3.35,15.48,3.58,,
2025-07-07 00:00:00,ABVC,3.990000009536743,1194500.0,539550.0,-12.03,3.51,,,,
2025-07-08 00:00:00,ABVC,4.739999771118164,2229200.0,634740.0,-24.68,3.57,,,,
2025-03-24 00:00:00,ABVE,0.6200000047683716,1845700.0,220620.0,-4.19,0.59,-25.0,0.47,-13.23,0.54
2025-04-28 00:00:00,ABVE,0.8980000019073486,4916500.0,140460.0,29.18,1.16,18.04,1.06,40.31,1.26
2025-04-29 00:00:00,ABVE,1.309999942779541,8101700.0,622330.0,-39.69,0.79,4.58,1.37,-12.21,1.15
2025-04-30 00:00:00,ABVE,1.7300000190734863,5353700.0,1419810.0,-47.63,0.91,-31.79,1.18,-32.95,1.16
2025-05-01 00:00:00,ABVE,2.359999895095825,3606200.0,1950990.0,-59.62,0.95,-47.46,1.24,-51.27,1.15
2025-06-17 00:00:00,ABVE,1.5499999523162842,488700.0,251060.0,-19.35,1.25,-45.81,0.84,119.35,3.4
2025-07-11 00:00:00,ABVE,3.630000114440918,287354100.0,46856410.0,,,,,,
2025-03-06 00:00:00,ABVX,8.289999961853027,176000.0,111400.0,-28.59,5.92,-14.84,7.06,-30.16,5.79
2025-06-03 00:00:00,ABVX,7.739999771118164,608700.0,326890.0,1.68,7.87,-21.71,6.06,0.26,7.76
2025-07-14 00:00:00,ABVX,8.829999923706055,805000.0,439160.0,,,,,,
2025-07-16 00:00:00,ABVX,9.880000114440918,2315600.0,520580.0,,,,,,
2025-05-13 00:00:00,AC,37.40079498291016,5300.0,2770.0,-1.28,36.92,1.73,38.05,0.8,37.7
2025-05-06 00:00:00,ACA,85.92188262939453,507800.0,241720.0,5.27,90.45,1.61,87.3,2.08,87.71
2025-05-08 00:00:00,ACAD,16.93000030517578,4742800.0,1616420.0,3.96,17.6,27.29,21.55,29.83,21.98
2025-05-16 00:00:00,ACAD,22.26000022888184,17859400.0,2306070.0,-1.26,21.98,-3.55,21.47,-0.54,22.14
2025-04-25 00:00:00,ACB,4.809999942779541,1981400.0,963530.0,0.62,4.84,0.83,4.85,14.35,5.5
2025-05-20 00:00:00,ACB,5.340000152587891,1365700.0,758190.0,3.37,5.52,4.31,5.57,-12.36,4.68
2025-06-11 00:00:00,ACB,6.039999961853027,1378800.0,647620.0,-22.52,4.68,-29.47,4.26,-25.66,4.49
2025-05-07 00:00:00,ACCS,9.06999969482422,25300.0,5280.0,-2.54,8.84,0.33,9.1,8.38,9.83
2025-06-11 00:00:00,ACCS,11.949999809265137,23100.0,5330.0,-2.93,11.6,-1.67,11.75,-1.59,11.76
2025-05-13 00:00:00,ACDC,5.690000057220459,1740500.0,909210.0,14.06,6.49,27.07,7.23,67.49,9.53
2025-05-14 00:00:00,ACDC,6.150000095367432,2141000.0,1020840.0,6.5,6.55,28.94,7.93,47.32,9.06
2025-05-15 00:00:00,ACDC,6.28000020980835,2196100.0,1134670.0,6.21,6.67,32.8,8.34,45.7,9.15
2025-06-17 00:00:00,ACDC,10.529999732971191,1528700.0,858600.0,-26.31,7.76,-24.69,7.93,-23.17,8.09
2025-04-09 00:00:00,ACEL,10.699999809265137,863200.0,522020.0,4.67,11.2,5.14,11.25,6.36,11.38
2025-06-27 00:00:00,ACEL,11.899999618530272,430700.0,265910.0,1.6,12.09,3.03,12.26,,
2025-05-12 00:00:00,ACET,0.7210000157356262,1536900.0,689230.0,-2.08,0.71,-2.91,0.7,13.73,0.82
2025-05-16 00:00:00,ACET,0.7770000100135803,1953300.0,886250.0,-10.68,0.69,-3.6,0.75,-7.85,0.72
2025-03-17 00:00:00,ACGL,95.27999877929688,2564700.0,1664000.0,-1.33,94.01,0.94,96.18,-2.53,92.87
2025-05-13 00:00:00,ACHC,26.940000534057617,9007700.0,2957260.0,-6.46,25.2,-15.55,22.75,-15.48,22.77
2025-05-02 00:00:00,ACHR,9.289999961853027,39780500.0,21034710.0,-5.17,8.81,43.16,13.3,4.74,9.73
2025-05-13 00:00:00,ACHR,11.15999984741211,91818600.0,22547850.0,1.16,11.29,-1.88,10.95,9.05,12.17
2025-05-14 00:00:00,ACHR,11.84000015258789,47465200.0,29582130.0,-8.61,10.82,-10.47,10.6,-0.93,11.73
2025-05-16 00:00:00,ACHR,13.300000190734863,72372000.0,33287380.0,-20.38,10.59,-26.84,9.73,-21.95,10.38
2025-07-16 00:00:00,ACHR,12.09000015258789,66884200.0,36906200.0,,,,,,
2025-07-17 00:00:00,ACHR,13.399999618530272,74592900.0,37997030.0,,,,,,
2025-05-16 00:00:00,ACHV,3.0799999237060547,564800.0,147150.0,-1.3,3.04,26.62,3.9,0.65,3.1
2025-05-19 00:00:00,ACHV,3.309999942779541,508500.0,187170.0,-4.53,3.16,27.19,4.21,-9.97,2.98
2025-05-30 00:00:00,ACHV,3.5799999237060547,528200.0,282230.0,6.98,3.83,-9.22,3.25,-36.87,2.26
2025-06-02 00:00:00,ACHV,3.900000095367432,491000.0,322480.0,-3.59,3.76,-20.51,3.1,-43.08,2.22
2025-06-03 00:00:00,ACHV,4.210000038146973,917800.0,315100.0,-12.35,3.69,-29.22,2.98,-46.32,2.26
