sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
NON_TECH,BUY_STRONG,2,1,1.4,1.0,48.739495798319325,0.11516158684490332,119,20
NON_TECH,BUY_MODERATE,2,1,1.4,1.0,72.72727272727273,2.8106206821224053,11,20
TECH,SELL_STRONG,2,1,1.4,1.5,43.333333333333336,-0.49780561530379175,30,9
TECH,BUY_STRONG,2,1,1.4,1.5,45.45454545454545,-1.5377065914789658,33,9
TECH,BUY_MODERATE,2,1,1.4,1.5,46.15384615384615,0.7921375838253184,13,9
NON_TECH,SELL_STRONG,2,1,1.4,1.5,40.54054054054054,-2.7980308474886657,74,20
NON_TECH,BUY_STRONG,2,1,1.4,1.5,47.91666666666667,-0.10904399570613561,96,20
NON_TECH,BUY_MODERATE,2,1,1.4,1.5,52.94117647058824,1.3443940505456173,17,20
TECH,SELL_STRONG,2,1,1.4,2.0,50.0,-0.4783946102184185,22,9
TECH,BUY_STRONG,2,1,1.4,2.0,36.36363636363637,-1.3973646114712173,22,9
TECH,BUY_MODERATE,2,1,1.4,2.0,52.94117647058824,1.1984190309139429,17,9
NON_TECH,BUY_STRONG,2,1,1.4,2.0,48.19277108433735,-0.08803472302778567,83,20
NON_TECH,SELL_STRONG,2,1,1.4,2.0,45.45454545454545,-2.3352509295122514,55,20
NON_TECH,BUY_MODERATE,2,1,1.4,2.0,52.38095238095239,1.0572632265060533,21,20
TECH,BUY_STRONG,2,1,1.4,2.5,35.0,-1.5414264309396801,20,9
TECH,BUY_MODERATE,2,1,1.4,2.5,55.55555555555556,2.1686778808687333,18,9
TECH,SELL_STRONG,2,1,1.4,2.5,50.0,-1.0031083280309978,16,9
NON_TECH,BUY_STRONG,2,1,1.4,2.5,50.74626865671642,0.4365773474097093,67,20
NON_TECH,SELL_STRONG,2,1,1.4,2.5,45.65217391304348,-2.1892420380700393,46,20
NON_TECH,BUY_MODERATE,2,1,1.4,2.5,51.61290322580645,0.5581522485942944,31,20
TECH,SELL_STRONG,2,1,1.5,0.5,42.857142857142854,-1.6057242989453424,35,9
TECH,BUY_STRONG,2,1,1.5,0.5,48.38709677419355,-0.9029889519379525,31,9
NON_TECH,SELL_STRONG,2,1,1.5,0.5,49.39759036144578,-1.4530196986738526,83,20
NON_TECH,BUY_STRONG,2,1,1.5,0.5,48.18181818181818,0.3290624536947644,110,20
NON_TECH,BUY_MODERATE,2,1,1.5,0.5,80.0,2.691343167611651,5,20
TECH,SELL_STRONG,2,1,1.5,1.0,43.333333333333336,-1.6387738523198723,30,9
TECH,BUY_STRONG,2,1,1.5,1.0,50.0,-0.9547834387115751,28,9
TECH,BUY_MODERATE,2,1,1.5,1.0,66.66666666666666,2.2771774617048584,9,9
