date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-01-27,AMD,61067900,115.01000213623047,117.80000305175781,118.08000183105469,112.80000305175781,24862603,10660191,34467,36205297,40.7,59.3,42.9
2025-01-28,AMD,40554800,114.16999816894531,115.18000030517578,116.1500015258789,112.94999694824219,17716059,5371472,23984,22838741,43.7,56.3,30.3
2025-01-29,AMD,40199100,117.3499984741211,115.7699966430664,118.5199966430664,114.95999908447266,20309477,7728960,79504,19889623,50.5,49.5,38.1
2025-01-30,AMD,29788400,118.86000061035156,118.52999877929688,120.44000244140625,117.08999633789062,12549523,4982950,24133,17238877,42.1,57.9,39.7
2025-01-31,AMD,40463400,115.94999694824219,119.13999938964844,119.56999969482422,115.33000183105469,17073486,6911402,25078,23389914,42.2,57.8,40.5
2025-02-03,AMD,34586100,114.2699966430664,113.87999725341797,115.16000366210938,112.9800033569336,15342050,5291137,42505,19244050,44.4,55.6,34.5
2025-02-04,AMD,69412100,119.5,115.44999694824219,119.8499984741211,114.79000091552734,21239586,12032348,46564,48172514,30.6,69.4,56.7
2025-02-05,AMD,110385200,112.01000213623047,107.61000061035156,112.08999633789062,106.5,53601779,32767190,3130564,56783421,48.6,51.4,61.1
2025-02-06,AMD,50426600,110.16000366210938,110.93000030517578,112.55999755859375,109.0199966430664,25059307,13339790,1326350,25367293,49.7,50.3,53.2
2025-02-07,AMD,46082500,107.55999755859375,109.12999725341797,109.91999816894531,106.79000091552734,21585621,11866791,133984,24496879,46.8,53.2,55.0
2025-02-10,AMD,34905400,110.4800033569336,108.44000244140625,111.4000015258789,108.1500015258789,17654153,7061111,34275,17251247,50.6,49.4,40.0
2025-02-11,AMD,35033800,111.0999984741211,108.9800033569336,113.06999969482422,108.94000244140625,20219644,10189448,111811,14814156,57.7,42.3,50.4
2025-02-12,AMD,25319700,111.72000122070312,109.5199966430664,111.83999633789062,109.05999755859375,12304233,6365545,25773,13015467,48.6,51.4,51.7
2025-02-13,AMD,40911800,111.80999755859375,112.0,114.5999984741211,110.4000015258789,21087504,8290355,46311,19824296,51.5,48.5,39.3
