ticker,pattern_type,analysis_start,analysis_end,entry_date,exit_date,entry_price,exit_price,return_pct,avg_off_exchange_pct,off_exchange_trend,price_change,price_volatility,day1_date,day1_off_exchange,day1_volume,day1_close,day2_date,day2_off_exchange,day2_volume,day2_close,day3_date,day3_off_exchange,day3_volume,day3_close
AMD,STRONG_ACCUMULATION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,156.99000549316406,158.64999389648438,1.0573847666962435,48.86666666666667,0.29999999999999716,-1.9302825478174013,1.185287233902537,2025-07-16,48.7,59492800,160.0800018310547,2025-07-17,48.9,50605100,160.41000366210938,2025-07-18,49.0,48859800,156.99000549316406
AMD,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,157.0,162.1199951171875,3.2611433867436306,50.9,5.899999999999999,-2.1258048651954837,1.2468326260756393,2025-07-17,48.9,50605100,160.41000366210938,2025-07-18,49.0,48859800,156.99000549316406,2025-07-21,54.8,39021100,157.0
AMD,MODERATE_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,154.72000122070312,162.1199951171875,4.782829523074086,50.9,-0.10000000000000142,-1.4459546423544662,0.8407003674945103,2025-07-18,49.0,48859800,156.99000549316406,2025-07-21,54.8,39021100,157.0,2025-07-22,48.9,49028000,154.72000122070312
AMD,MODERATE_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,158.64999389648438,162.1199951171875,2.1872053918686087,51.333333333333336,-4.5,1.0509515264231688,1.2586227363902787,2025-07-21,54.8,39021100,157.0,2025-07-22,48.9,49028000,154.72000122070312,2025-07-23,50.3,41510900,158.64999389648438
AMD,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,162.1199951171875,162.1199951171875,0.0,50.79999999999999,4.300000000000004,4.782829523074086,2.3359349642491885,2025-07-22,48.9,49028000,154.72000122070312,2025-07-23,50.3,41510900,158.64999389648438,2025-07-24,53.2,48440100,162.1199951171875
TLN,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,328.6300048828125,339.239990234375,3.228550404381352,36.56666666666667,-7.199999999999996,24.114361506866224,12.977817397773775,2025-07-16,46.9,1513400,264.7799987792969,2025-07-17,23.1,904000,264.0,2025-07-18,39.7,4495300,328.6300048828125
TLN,NEUTRAL,2025-07-17,2025-07-21,2025-07-21,2025-07-24,310.1400146484375,339.1600036621094,9.357060567166025,34.699999999999996,18.199999999999996,17.477278275923293,11.061348343814123,2025-07-17,23.1,904000,264.0,2025-07-18,39.7,4495300,328.6300048828125,2025-07-21,41.3,1563800,310.1400146484375
TLN,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,313.5799865722656,339.1600036621094,8.157413797180817,42.73333333333333,7.5,-4.579623919585074,3.097732874053601,2025-07-18,39.7,4495300,328.6300048828125,2025-07-21,41.3,1563800,310.1400146484375,2025-07-22,47.2,1801200,313.5799865722656
TLN,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,339.239990234375,339.1600036621094,-0.02357816724684011,42.666666666666664,-1.7999999999999972,9.382851038723295,4.95383239366068,2025-07-21,41.3,1563800,310.1400146484375,2025-07-22,47.2,1801200,313.5799865722656,2025-07-23,39.5,2492300,339.239990234375
TLN,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,339.1600036621094,339.1600036621094,0.0,42.63333333333333,-6.0,8.157413797180817,4.473409013641824,2025-07-22,47.2,1801200,313.5799865722656,2025-07-23,39.5,2492300,339.239990234375,2025-07-24,41.2,1159200,339.1600036621094
