ticker,pattern_type,analysis_start,analysis_end,entry_date,exit_date,entry_price,exit_price,return_pct,avg_off_exchange_pct,off_exchange_trend,price_change,price_volatility,day1_date,day1_off_exchange,day1_volume,day1_close,day2_date,day2_off_exchange,day2_volume,day2_close,day3_date,day3_off_exchange,day3_volume,day3_close
SNPS,NEUTRAL,2025-07-17,2025-07-21,2025-07-21,2025-07-24,591.4600219726562,609.6799926757812,3.0805075620085316,33.5,12.599999999999998,0.4159542565339667,0.5761398358459016,2025-07-17,29.2,3621100,589.010009765625,2025-07-18,29.5,3682300,584.760009765625,2025-07-21,41.8,2445000,591.4600219726562
SNPS,NEUTRAL,2025-07-18,2025-07-22,2025-07-22,2025-07-24,615.1300048828125,609.6799926757812,-0.8859935564465798,37.4,11.399999999999999,5.1935827707096385,2.67211442221462,2025-07-18,29.5,3682300,584.760009765625,2025-07-21,41.8,2445000,591.4600219726562,2025-07-22,40.9,2890600,615.1300048828125
SNPS,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,614.4199829101562,609.6799926757812,-0.7714576944461304,43.03333333333333,4.600000000000001,3.8819125696650145,2.218370992285236,2025-07-21,41.8,2445000,591.4600219726562,2025-07-22,40.9,2890600,615.1300048828125,2025-07-23,46.4,2002300,614.4199829101562
SNPS,MODERATE_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,609.6799926757812,609.6799926757812,0.0,42.199999999999996,-1.6000000000000014,-0.8859935564465798,0.483291171398661,2025-07-22,40.9,2890600,615.1300048828125,2025-07-23,46.4,2002300,614.4199829101562,2025-07-24,39.3,1414300,609.6799926757812
DDOG,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,145.02000427246094,144.0,-0.7033541872916871,38.333333333333336,-5.299999999999997,4.061426260993396,2.0235532644893337,2025-07-16,42.9,4045200,139.36000061035156,2025-07-17,34.5,5309800,143.14999389648438,2025-07-18,37.6,3609900,145.02000427246094
DDOG,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,145.27000427246094,146.55999755859375,0.8879970043322691,37.03333333333333,4.5,1.4809713352203138,0.8018982988089683,2025-07-17,34.5,5309800,143.14999389648438,2025-07-18,37.6,3609900,145.02000427246094,2025-07-21,39.0,3683700,145.27000427246094
DDOG,POTENTIAL_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,144.88999938964844,146.55999755859375,1.15259726411775,39.699999999999996,4.899999999999999,-0.0896461722399685,0.13314092419434564,2025-07-18,37.6,3609900,145.02000427246094,2025-07-21,39.0,3683700,145.27000427246094,2025-07-22,42.5,3694000,144.88999938964844
DDOG,STRONG_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,144.0,146.55999755859375,1.7777760823567708,41.43333333333333,3.799999999999997,-0.8742370999583526,0.4504182261554346,2025-07-21,39.0,3683700,145.27000427246094,2025-07-22,42.5,3694000,144.88999938964844,2025-07-23,42.8,3448500,144.0
DDOG,MODERATE_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,146.55999755859375,146.55999755859375,0.0,41.6,-3.0,1.15259726411775,0.8953858393866236,2025-07-22,42.5,3694000,144.88999938964844,2025-07-23,42.8,3448500,144.0,2025-07-24,39.5,2931900,146.55999755859375
ANET,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,111.77999877929688,113.04000091552734,1.1272160941048766,39.266666666666666,0.29999999999999716,3.2132923633214925,1.8695391340226237,2025-07-16,41.0,6384000,108.3000030517578,2025-07-17,35.5,8587100,111.9800033569336,2025-07-18,41.3,6007600,111.77999877929688
ANET,STRONG_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,111.61000061035156,114.04000091552734,2.177224524582974,41.9,13.399999999999999,-0.33041858857840567,0.16567139150579635,2025-07-17,35.5,8587100,111.9800033569336,2025-07-18,41.3,6007600,111.77999877929688,2025-07-21,48.9,6686800,111.61000061035156
ANET,STRONG_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,109.77999877929688,114.04000091552734,3.8804902382945294,46.06666666666666,6.700000000000003,-1.789228861908367,0.998489175340906,2025-07-18,41.3,6007600,111.77999877929688,2025-07-21,48.9,6686800,111.61000061035156,2025-07-22,48.0,7779700,109.77999877929688
ANET,MODERATE_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,113.04000091552734,114.04000091552734,0.8846425972229788,46.366666666666674,-6.699999999999996,1.2812474664955358,1.4658546986193965,2025-07-21,48.9,6686800,111.61000061035156,2025-07-22,48.0,7779700,109.77999877929688,2025-07-23,42.2,7428900,113.04000091552734
ANET,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,114.04000091552734,114.04000091552734,0.0,44.0,-6.200000000000003,3.8804902382945294,1.983918203853114,2025-07-22,48.0,7779700,109.77999877929688,2025-07-23,42.2,7428900,113.04000091552734,2025-07-24,41.8,5370200,114.04000091552734
MRVL,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,74.6500015258789,73.2699966430664,-1.8486334288072237,40.13333333333333,-0.30000000000000426,5.363448318415722,2.6860061146619745,2025-07-16,40.6,26477200,70.8499984741211,2025-07-17,39.5,15030000,72.01000213623047,2025-07-18,40.3,16914800,74.6500015258789
MRVL,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,73.05999755859375,74.04000091552734,1.3413679026578613,38.96666666666667,-2.3999999999999986,1.458124414962343,1.814817932624872,2025-07-17,39.5,15030000,72.01000213623047,2025-07-18,40.3,16914800,74.6500015258789,2025-07-21,37.1,15595300,73.05999755859375
MRVL,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,71.98999786376953,74.04000091552734,2.8476220483255763,38.733333333333334,-1.5,-3.5633002113030527,1.8276463546734716,2025-07-18,40.3,16914800,74.6500015258789,2025-07-21,37.1,15595300,73.05999755859375,2025-07-22,38.8,12192300,71.98999786376953
MRVL,POTENTIAL_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,73.2699966430664,74.04000091552734,1.0509134812875738,38.9,3.6999999999999957,0.28743374143181166,0.9432904330243503,2025-07-21,37.1,15595300,73.05999755859375,2025-07-22,38.8,12192300,71.98999786376953,2025-07-23,40.8,11239000,73.2699966430664
MRVL,POTENTIAL_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,74.04000091552734,74.04000091552734,0.0,40.699999999999996,3.700000000000003,2.8476220483255763,1.41658071134347,2025-07-22,38.8,12192300,71.98999786376953,2025-07-23,40.8,11239000,73.2699966430664,2025-07-24,42.5,10641400,74.04000091552734
SVM,POTENTIAL_DISTRIBUTION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,4.440000057220459,4.840000152587891,9.00901104082059,60.6,-0.8000000000000043,-4.92505386115564,2.64315277176842,2025-07-16,59.1,8825000,4.670000076293945,2025-07-17,64.4,4806200,4.619999885559082,2025-07-18,58.3,4013300,4.440000057220459
SVM,MODERATE_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,4.599999904632568,4.769999980926514,3.6956539090955554,56.199999999999996,-18.500000000000007,-0.43290003077767186,2.166710781722486,2025-07-17,64.4,4806200,4.619999885559082,2025-07-18,58.3,4013300,4.440000057220459,2025-07-21,45.9,4839900,4.599999904632568
SVM,NEUTRAL,2025-07-18,2025-07-22,2025-07-22,2025-07-24,4.769999980926514,4.769999980926514,0.0,54.46666666666666,0.9000000000000057,7.43243061831495,3.5849068998897318,2025-07-18,58.3,4013300,4.440000057220459,2025-07-21,45.9,4839900,4.599999904632568,2025-07-22,59.2,4521200,4.769999980926514
SVM,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,4.840000152587891,4.769999980926514,-1.446284492862024,61.36666666666667,33.1,5.217396802848253,2.6057038208097993,2025-07-21,45.9,4839900,4.599999904632568,2025-07-22,59.2,4521200,4.769999980926514,2025-07-23,79.0,11058600,4.840000152587891
SVM,MODERATE_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,4.769999980926514,4.769999980926514,0.0,64.03333333333333,-5.300000000000004,0.0,0.8431422315100715,2025-07-22,59.2,4521200,4.769999980926514,2025-07-23,79.0,11058600,4.840000152587891,2025-07-24,53.9,3004600,4.769999980926514
AVAV,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,274.0299987792969,272.79998779296875,-0.44885997584475157,33.03333333333334,-4.399999999999999,1.9001878240407282,1.761232008277451,2025-07-16,44.6,1460400,268.9200134277344,2025-07-17,14.3,6617600,278.5599975585937,2025-07-18,40.2,1248100,274.0299987792969
AVAV,POTENTIAL_DISTRIBUTION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,272.17999267578125,271.20001220703125,-0.36004867922725875,33.43333333333333,31.499999999999996,-2.2903521462985514,1.1939603448530358,2025-07-17,14.3,6617600,278.5599975585937,2025-07-18,40.2,1248100,274.0299987792969,2025-07-21,45.8,1121200,272.17999267578125
AVAV,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,262.4800109863281,271.20001220703125,3.3221582047089013,41.800000000000004,-0.8000000000000043,-4.214862549509071,2.3013837912719923,2025-07-18,40.2,1248100,274.0299987792969,2025-07-21,45.8,1121200,272.17999267578125,2025-07-22,39.4,1497200,262.4800109863281
AVAV,MODERATE_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,272.79998779296875,271.20001220703125,-0.5865013407375007,42.46666666666666,-3.5999999999999943,0.2277886449670213,2.1502882046775302,2025-07-21,45.8,1121200,272.17999267578125,2025-07-22,39.4,1497200,262.4800109863281,2025-07-23,42.2,974900,272.79998779296875
AVAV,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,271.20001220703125,271.20001220703125,0.0,43.0,8.0,3.3221582047089013,2.0661199990803705,2025-07-22,39.4,1497200,262.4800109863281,2025-07-23,42.2,974900,272.79998779296875,2025-07-24,47.4,1113600,271.20001220703125
ZETA,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,15.600000381469728,16.559999465942383,6.15384013460011,45.23333333333333,4.300000000000004,4.208417523067686,3.0642834209511234,2025-07-16,43.3,11244600,14.970000267028809,2025-07-17,44.8,15187900,15.899999618530272,2025-07-18,47.6,10201500,15.600000381469728
ZETA,MODERATE_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,15.630000114440918,15.890000343322754,1.663469142534527,45.56666666666666,-0.5,-1.6981101293530174,1.051729739009031,2025-07-17,44.8,15187900,15.899999618530272,2025-07-18,47.6,10201500,15.600000381469728,2025-07-21,44.3,12312400,15.630000114440918
ZETA,MODERATE_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,15.619999885559082,15.890000343322754,1.728556080293517,45.23333333333333,-3.8000000000000043,0.12820194615578256,0.09781268864883254,2025-07-18,47.6,10201500,15.600000381469728,2025-07-21,44.3,12312400,15.630000114440918,2025-07-22,43.8,9815800,15.619999885559082
ZETA,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,16.559999465942383,15.890000343322754,-4.04588855209544,42.833333333333336,-3.8999999999999986,5.95009177666107,3.3874420982240987,2025-07-21,44.3,12312400,15.630000114440918,2025-07-22,43.8,9815800,15.619999885559082,2025-07-23,40.4,10148100,16.559999465942383
ZETA,STRONG_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,15.890000343322754,15.890000343322754,0.0,45.79999999999999,9.400000000000006,1.728556080293517,3.020446999099363,2025-07-22,43.8,9815800,15.619999885559082,2025-07-23,40.4,10148100,16.559999465942383,2025-07-24,53.2,8751400,15.890000343322754
FCX,POTENTIAL_ACCUMULATION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,44.79999923706055,44.84000015258789,0.08928775939409664,37.63333333333333,-1.3999999999999986,1.8644831818079706,0.9276198415242467,2025-07-16,38.4,11377600,43.97999954223633,2025-07-17,37.5,11027900,44.459999084472656,2025-07-18,37.0,13554700,44.79999923706055
FCX,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,45.18999862670898,44.58000183105469,-1.3498491130596293,38.03333333333333,2.1000000000000014,1.6419243303387028,0.8150651860103513,2025-07-17,37.5,11027900,44.459999084472656,2025-07-18,37.0,13554700,44.79999923706055,2025-07-21,39.6,11250300,45.18999862670898
FCX,POTENTIAL_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,45.79999923706055,44.58000183105469,-2.663749839145541,39.9,6.100000000000001,2.232142895156024,1.113522167988766,2025-07-18,37.0,13554700,44.79999923706055,2025-07-21,39.6,11250300,45.18999862670898,2025-07-22,43.1,15316100,45.79999923706055
FCX,STRONG_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,44.84000015258789,44.58000183105469,-0.5798356838725337,41.699999999999996,2.799999999999997,-0.7745042813836787,1.0730301157378894,2025-07-21,39.6,11250300,45.18999862670898,2025-07-22,43.1,15316100,45.79999923706055,2025-07-23,42.4,23135900,44.84000015258789
FCX,POTENTIAL_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,44.58000183105469,44.58000183105469,0.0,41.06666666666667,-5.399999999999999,-2.663749839145541,1.4256716214644372,2025-07-22,43.1,15316100,45.79999923706055,2025-07-23,42.4,23135900,44.84000015258789,2025-07-24,37.7,13223900,44.58000183105469
RKLB,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,51.38999938964844,49.150001525878906,-4.358820568931039,47.96666666666666,-1.1999999999999957,7.758441747715337,4.226625192665495,2025-07-16,48.4,26692300,47.68999862670898,2025-07-17,48.3,46760200,51.33000183105469,2025-07-18,47.2,32919600,51.38999938964844
RKLB,POTENTIAL_DISTRIBUTION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,47.18999862670898,48.130001068115234,1.9919526780283205,48.9,2.9000000000000057,-8.065464750950008,4.818368340269004,2025-07-17,48.3,46760200,51.33000183105469,2025-07-18,47.2,32919600,51.38999938964844,2025-07-21,51.2,29305900,47.18999862670898
RKLB,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,46.880001068115234,48.130001068115234,2.6663821918088004,49.93333333333334,4.199999999999996,-8.776023302389179,5.195517240171429,2025-07-18,47.2,32919600,51.38999938964844,2025-07-21,51.2,29305900,47.18999862670898,2025-07-22,51.4,24381700,46.880001068115234
RKLB,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,49.150001525878906,48.130001068115234,-2.0752806227821012,51.333333333333336,0.19999999999999574,4.153428599721532,2.5783300821199435,2025-07-21,51.2,29305900,47.18999862670898,2025-07-22,51.4,24381700,46.880001068115234,2025-07-23,51.4,18179900,49.150001525878906
RKLB,POTENTIAL_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,48.130001068115234,48.130001068115234,0.0,52.13333333333333,2.200000000000003,2.6663821918088004,2.3659972192077943,2025-07-22,51.4,24381700,46.880001068115234,2025-07-23,51.4,18179900,49.150001525878906,2025-07-24,53.6,12600600,48.130001068115234
INTR,POTENTIAL_DISTRIBUTION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,6.909999847412109,6.840000152587891,-1.0130202079589712,40.03333333333333,2.8999999999999986,-3.356646779778664,2.7629681246420104,2025-07-16,40.1,1853300,7.150000095367432,2025-07-17,37.0,1803800,7.300000190734863,2025-07-18,43.0,2493900,6.909999847412109
INTR,POTENTIAL_DISTRIBUTION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,6.829999923706055,6.730000019073486,-1.4641274633910537,43.9,14.700000000000003,-6.4383596540905765,3.585492744843948,2025-07-17,37.0,1803800,7.300000190734863,2025-07-18,43.0,2493900,6.909999847412109,2025-07-21,51.7,3365400,6.829999923706055
INTR,POTENTIAL_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,6.710000038146973,6.730000019073486,0.2980623071954087,45.1,-2.3999999999999986,-2.894353309429369,1.4767388372819463,2025-07-18,43.0,2493900,6.909999847412109,2025-07-21,51.7,3365400,6.829999923706055,2025-07-22,40.6,2151200,6.710000038146973
INTR,MODERATE_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,6.840000152587891,6.730000019073486,-1.6081890505921423,45.866666666666674,-6.400000000000006,0.14641623709432885,1.0648938501124594,2025-07-21,51.7,3365400,6.829999923706055,2025-07-22,40.6,2151200,6.710000038146973,2025-07-23,45.3,1679500,6.840000152587891
INTR,MODERATE_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,6.730000019073486,6.730000019073486,0.0,41.4,-2.3000000000000043,0.2980623071954087,1.035503975707062,2025-07-22,40.6,2151200,6.710000038146973,2025-07-23,45.3,1679500,6.840000152587891,2025-07-24,38.3,1277200,6.730000019073486
U,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,36.75,33.40999984741211,-9.088435789354804,45.26666666666667,-8.299999999999997,8.279320822009971,4.365834988899008,2025-07-16,48.8,40096100,33.939998626708984,2025-07-17,46.5,40236300,36.52000045776367,2025-07-18,40.5,15957100,36.75
U,MODERATE_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,35.91999816894531,33.34000015258789,-7.182622906111289,43.666666666666664,-2.5,-1.6429416245826107,1.1773761981728479,2025-07-17,46.5,40236300,36.52000045776367,2025-07-18,40.5,15957100,36.75,2025-07-21,44.0,11218900,35.91999816894531
U,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,34.22999954223633,33.34000015258789,-2.600056679960714,43.53333333333333,5.600000000000001,-6.857144102758291,3.6039987048802153,2025-07-18,40.5,15957100,36.75,2025-07-21,44.0,11218900,35.91999816894531,2025-07-22,46.1,16001400,34.22999954223633
U,POTENTIAL_DISTRIBUTION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,33.40999984741211,33.34000015258789,-0.20951719588122303,43.53333333333333,-3.5,-6.987746240207845,3.707653400597741,2025-07-21,44.0,11218900,35.91999816894531,2025-07-22,46.1,16001400,34.22999954223633,2025-07-23,40.5,14145500,33.40999984741211
U,POTENTIAL_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,33.34000015258789,33.34000015258789,0.0,43.26666666666667,-2.8999999999999986,-2.600056679960714,1.4702122670522197,2025-07-22,46.1,16001400,34.22999954223633,2025-07-23,40.5,14145500,33.40999984741211,2025-07-24,43.2,8614500,33.34000015258789
OUST,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,30.649999618530277,26.649999618530277,-13.05057112490694,47.599999999999994,8.200000000000003,5.580430222414728,3.620515632938127,2025-07-16,41.9,3474800,29.030000686645508,2025-07-17,50.8,4514900,28.63999938964844,2025-07-18,50.1,3203300,30.649999618530277
OUST,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,29.31999969482422,28.299999237060547,-3.4788556220337536,49.93333333333334,-1.8999999999999986,2.374302792134678,3.461347397441019,2025-07-17,50.8,4514900,28.63999938964844,2025-07-18,50.1,3203300,30.649999618530277,2025-07-21,48.9,2624800,29.31999969482422
OUST,POTENTIAL_DISTRIBUTION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,27.3799991607666,28.299999237060547,3.3601172552708967,51.1,4.199999999999996,-10.668843388130776,5.647815473795821,2025-07-18,50.1,3203300,30.649999618530277,2025-07-21,48.9,2624800,29.31999969482422,2025-07-22,54.3,4368100,27.3799991607666
OUST,POTENTIAL_DISTRIBUTION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,26.649999618530277,28.299999237060547,6.191368263221258,49.73333333333333,-2.8999999999999986,-9.106412360451934,4.966789730698021,2025-07-21,48.9,2624800,29.31999969482422,2025-07-22,54.3,4368100,27.3799991607666,2025-07-23,46.0,2599800,26.649999618530277
OUST,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,28.299999237060547,28.299999237060547,0.0,50.46666666666667,-3.1999999999999957,3.3601172552708967,3.012830299810566,2025-07-22,54.3,4368100,27.3799991607666,2025-07-23,46.0,2599800,26.649999618530277,2025-07-24,51.1,2114800,28.299999237060547
XP,POTENTIAL_DISTRIBUTION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,17.170000076293945,16.959999084472656,-1.2230692538623256,44.73333333333333,0.19999999999999574,-6.072213176460522,3.3602472013033506,2025-07-16,42.6,5067900,18.280000686645508,2025-07-17,48.8,11231100,18.1200008392334,2025-07-18,42.8,10470200,17.170000076293945
XP,POTENTIAL_DISTRIBUTION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,16.959999084472656,16.649999618530273,-1.8278271384235854,42.86666666666667,-11.799999999999997,-6.401775392024862,3.5488378078726304,2025-07-17,48.8,11231100,18.1200008392334,2025-07-18,42.8,10470200,17.170000076293945,2025-07-21,37.0,5799600,16.959999084472656
XP,POTENTIAL_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,16.81999969482422,16.649999618530273,-1.0107020177072716,39.5,-4.099999999999994,-2.0384413506960932,1.0372701666899946,2025-07-18,42.8,10470200,17.170000076293945,2025-07-21,37.0,5799600,16.959999084472656,2025-07-22,38.7,4860400,16.81999969482422
XP,NEUTRAL,2025-07-21,2025-07-23,2025-07-23,2025-07-24,16.959999084472656,16.649999618530273,-1.8278271384235854,34.96666666666667,-7.800000000000001,0.0,0.47789922370665133,2025-07-21,37.0,5799600,16.959999084472656,2025-07-22,38.7,4860400,16.81999969482422,2025-07-23,29.2,4032100,16.959999084472656
XP,NEUTRAL,2025-07-22,2025-07-24,2025-07-24,2025-07-24,16.649999618530273,16.649999618530273,0.0,32.6,-8.800000000000004,-1.0107020177072716,0.923506819390258,2025-07-22,38.7,4860400,16.81999969482422,2025-07-23,29.2,4032100,16.959999084472656,2025-07-24,29.9,3556500,16.649999618530273
DASH,POTENTIAL_ACCUMULATION,2025-07-16,2025-07-18,2025-07-18,2025-07-23,239.1699981689453,240.55999755859372,0.5811763182213762,38.46666666666667,1.5,1.9914704345182568,1.0834158731444914,2025-07-16,34.4,2613200,234.5,2025-07-17,45.1,3013100,235.0200042724609,2025-07-18,35.9,3408500,239.1699981689453
DASH,POTENTIAL_ACCUMULATION,2025-07-17,2025-07-21,2025-07-21,2025-07-24,240.52999877929688,243.69000244140625,1.3137669638492369,40.96666666666667,-3.200000000000003,2.344478940800366,1.2047978453427473,2025-07-17,45.1,3013100,235.0200042724609,2025-07-18,35.9,3408500,239.1699981689453,2025-07-21,41.9,2465200,240.52999877929688
DASH,POTENTIAL_ACCUMULATION,2025-07-18,2025-07-22,2025-07-22,2025-07-24,239.82000732421875,243.69000244140625,1.613708197396373,38.53333333333333,1.8999999999999986,0.2717770457205435,0.2836143776762688,2025-07-18,35.9,3408500,239.1699981689453,2025-07-21,41.9,2465200,240.52999877929688,2025-07-22,37.8,1725300,239.82000732421875
DASH,POTENTIAL_ACCUMULATION,2025-07-21,2025-07-23,2025-07-23,2025-07-24,240.55999755859372,243.69000244140625,1.3011327380189828,38.06666666666666,-7.399999999999999,0.012471949215936496,0.17429734046193548,2025-07-21,41.9,2465200,240.52999877929688,2025-07-22,37.8,1725300,239.82000732421875,2025-07-23,34.5,2558200,240.55999755859372
DASH,POTENTIAL_ACCUMULATION,2025-07-22,2025-07-24,2025-07-24,2025-07-24,243.69000244140625,243.69000244140625,0.0,37.666666666666664,2.9000000000000057,1.613708197396373,0.8511551714066378,2025-07-22,37.8,1725300,239.82000732421875,2025-07-23,34.5,2558200,240.55999755859372,2025-07-24,40.7,1918200,243.69000244140625
MSFT,NEUTRAL,2025-07-16,2025-07-18,2025-07-18,2025-07-23,510.0499877929688,505.8699951171875,-0.8195260809373809,32.1,-4.5,0.876150610846505,0.6175612921294882,2025-07-16,34.4,15154400,505.6199951171875,2025-07-17,32.0,17503100,511.7000122070313,2025-07-18,29.9,21209700,510.0499877929688
