symbol,entry_date,exit_date,entry_price,exit_price,return_pct,signal_strength,avg_off_exchange_pct,off_exchange_trend,price_change,analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,entry_month
SVM,2025-07-09,2025-07-17,4.650000095367432,4.619999885559082,-0.6451657890983132,3,60.03999999999999,9.699999999999996,0.2155221803790752,5,6,50,1.0,2025-07
SOUN,2025-06-16,2025-06-25,9.720000267028809,9.56999969482422,-1.5432157210263118,3,57.32000000000001,-1.0,-0.7150122073235369,5,6,50,1.0,2025-06
QS,2025-04-29,2025-05-07,3.950000047683716,3.869999885559082,-2.0253205356679924,3,51.4,-0.2000000000000028,-0.7537681217588103,5,6,50,1.0,2025-04
SVM,2025-02-21,2025-03-03,3.619999885559082,3.5199999809265137,-2.7624283920971484,3,65.26,-7.200000000000003,0.0,5,6,50,1.0,2025-02
SVM,2025-04-21,2025-04-29,3.839999914169312,3.7300000190734863,-2.86458066548216,3,64.52,-7.100000000000001,-0.5181342349755874,5,6,50,1.0,2025-04
SOUN,2025-02-03,2025-02-11,14.239999771118164,13.80500030517578,-3.054771579594114,3,52.24000000000001,0.8999999999999986,0.07027567957507,5,6,50,1.0,2025-02
WBD,2025-03-25,2025-04-02,10.979999542236328,10.5600004196167,-3.825128780780317,3,54.34000000000001,-1.2000000000000028,0.549445654974275,5,6,50,1.0,2025-03
QS,2025-02-04,2025-02-12,5.070000171661377,4.829999923706055,-4.733732541012461,3,50.58,-0.1000000000000014,-0.5882300692582612,5,6,50,1.0,2025-02
WBD,2025-03-07,2025-03-17,11.06999969482422,10.479999542236328,-5.329721489186193,3,57.42,0.0,0.4537135660944897,5,6,50,1.0,2025-03
SOUN,2025-06-09,2025-06-17,10.020000457763672,9.34000015258789,-6.786429881337032,3,54.44,4.799999999999997,0.906345919657041,5,6,50,1.0,2025-06
BBAI,2025-04-03,2025-04-11,3.039999961853028,2.809999942779541,-7.565790196039693,3,71.16000000000001,6.899999999999992,0.0,5,6,50,1.0,2025-04
BBAI,2025-04-04,2025-04-14,2.8499999046325684,2.619999885559082,-8.07017637788794,3,72.22,0.7999999999999972,-0.3496500290228781,5,6,50,1.0,2025-04
BBAI,2025-04-07,2025-04-15,2.930000066757202,2.569999933242798,-12.286693696660455,3,71.46,-6.299999999999997,-0.6779654441774425,5,6,50,1.0,2025-04
QS,2025-02-21,2025-03-03,5.179999828338623,4.260000228881836,-17.76061061669683,3,50.68,6.100000000000001,-0.956026588002212,5,6,50,1.0,2025-02
