symbol,entry_date,exit_date,entry_price,exit_price,return_pct,signal_strength,avg_off_exchange_pct,off_exchange_trend,price_change,analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,entry_month
BBAI,2025-06-23,2025-07-01,4.179999828338623,6.650000095367432,59.09091790586344,3,77.5,8.599999999999994,0.9661826846140192,5,6,50,1.0,2025-06
BBAI,2025-04-22,2025-04-30,2.569999933242798,3.4100000858306885,32.68483168900271,3,74.84,3.1000000000000085,0.0,5,6,50,1.0,2025-04
SOUN,2025-05-07,2025-05-15,9.170000076293944,11.010000228881836,20.06543224950036,3,50.68,-5.100000000000001,0.2185842469672635,5,6,50,1.0,2025-05
QS,2025-05-08,2025-05-16,3.990000009536743,4.730000019073486,18.54636610947428,3,57.94,4.100000000000001,0.0,5,6,50,1.0,2025-05
SVM,2025-03-10,2025-03-18,3.5999999046325684,4.190000057220459,16.38889356159882,3,65.1,-6.0,0.558658697003811,5,6,50,1.0,2025-03
SVM,2025-06-27,2025-07-08,4.070000171661377,4.650000095367432,14.250611775018632,3,68.78,5.0,-0.4889970704245319,5,6,50,1.0,2025-06
SVM,2025-02-10,2025-02-19,3.2799999713897705,3.670000076293945,11.890247204451262,3,66.0,4.800000000000004,0.0,5,6,50,1.0,2025-02
QS,2025-05-06,2025-05-14,3.890000104904175,4.320000171661377,11.053985993858854,3,57.92,11.0,-0.5115084523652913,5,6,50,1.0,2025-05
WBD,2025-04-21,2025-04-29,7.940000057220459,8.770000457763672,10.4534054730696,3,55.46,13.0,-0.9975111717826576,5,6,50,1.0,2025-04
WBD,2025-05-23,2025-06-03,9.0,9.9399995803833,10.444439782036676,3,62.1,-0.1999999999999957,-0.5524882837687902,5,6,50,1.0,2025-05
SVM,2025-05-28,2025-06-05,3.930000066757202,4.329999923706055,10.178113235476562,3,57.66,-10.1,0.5115084523652685,5,6,50,1.0,2025-05
BBAI,2025-07-16,2025-07-24,7.119999885559082,7.800000190734863,9.550566237437316,3,66.36,36.400000000000006,0.0,5,6,50,1.0,2025-07
BBAI,2025-06-12,2025-06-23,3.829999923706055,4.179999828338623,9.138378893070437,3,70.44000000000001,-2.0,-0.5194800369331832,5,6,50,1.0,2025-06
WBD,2025-02-10,2025-02-19,9.979999542236328,10.890000343322754,9.118244918100586,3,51.4,-5.700000000000003,-0.7952373165350151,5,6,50,1.0,2025-02
QS,2025-06-05,2025-06-13,3.9800000190734863,4.340000152587891,9.045229441938789,3,53.3,-0.1000000000000014,-0.4999995231628418,5,6,50,1.0,2025-06
WBD,2025-05-20,2025-05-29,9.229999542236328,10.039999961853027,8.77573629240338,3,52.620000000000005,9.699999999999996,0.2171498806353893,5,6,50,1.0,2025-05
QS,2025-05-30,2025-06-09,4.0,4.349999904632568,8.749997615814209,3,56.3,-2.299999999999997,0.7556667801907433,5,6,50,1.0,2025-05
SOUN,2025-01-31,2025-02-10,14.149999618530272,15.329999923706056,8.339224996377412,3,51.6,4.899999999999999,0.5685851132994683,5,6,50,1.0,2025-01
SVM,2025-05-29,2025-06-06,3.859999895095825,4.170000076293945,8.031092995416373,3,58.92,8.299999999999997,-0.2583976940302204,5,6,50,1.0,2025-05
QS,2025-05-02,2025-05-12,3.990000009536743,4.28000020980835,7.268175428031559,3,52.82000000000001,-5.199999999999996,0.7575750277974386,5,6,50,1.0,2025-05
WBD,2025-07-03,2025-07-14,11.220000267028809,12.010000228881836,7.04099770990673,3,52.6,-6.0,-0.7079639146523954,5,6,50,1.0,2025-07
SVM,2025-03-11,2025-03-19,3.869999885559082,4.139999866485596,6.976743899502931,3,63.16,1.2000000000000028,0.2590671174877994,5,6,50,1.0,2025-03
QS,2025-05-27,2025-06-04,3.990000009536743,4.25,6.516290472225938,3,58.3,11.1,0.0,5,6,50,1.0,2025-05
WBD,2025-07-01,2025-07-10,10.9399995803833,11.649999618530272,6.489945753015237,3,56.65999999999999,-7.899999999999999,0.6439714403052952,5,6,50,1.0,2025-07
WBD,2025-03-18,2025-03-26,10.390000343322754,11.029999732971191,6.159762930708083,3,61.0,5.299999999999997,-0.2879053047172295,5,6,50,1.0,2025-03
SVM,2025-02-25,2025-03-05,3.640000104904175,3.859999895095825,6.043950105804791,3,61.92,-6.100000000000001,-0.8174378955344536,5,6,50,1.0,2025-02
SVM,2025-06-06,2025-06-16,4.170000076293945,4.409999847412109,5.755390089380094,3,61.82000000000001,-8.099999999999994,0.2403901261692827,5,6,50,1.0,2025-06
WBD,2025-06-03,2025-06-11,9.9399995803833,10.510000228881836,5.734413204839945,3,59.49999999999999,4.699999999999996,-0.7984119134284571,5,6,50,1.0,2025-06
WBD,2025-07-02,2025-07-11,11.119999885559082,11.729999542236328,5.485608479811392,3,55.82000000000001,-15.6,-0.2690559102919863,5,6,50,1.0,2025-07
WBD,2025-06-17,2025-06-26,10.579999923706056,11.149999618530272,5.387520783880598,3,58.06,9.5,0.6660294319676512,5,6,50,1.0,2025-06
SOUN,2025-04-30,2025-05-08,9.289999961853027,9.739999771118164,4.843916158373995,3,54.78,-10.5,-0.9594898879514028,5,6,50,1.0,2025-04
WBD,2025-02-07,2025-02-18,10.15999984741211,10.619999885559082,4.527559498577561,3,53.48,2.0,0.0,5,6,50,1.0,2025-02
SOUN,2025-06-18,2025-06-27,9.420000076293944,9.829999923706056,4.352439958508119,3,56.74,1.3999999999999986,-0.5279851037486032,5,6,50,1.0,2025-06
QS,2025-05-01,2025-05-09,3.920000076293945,4.059999942779541,3.57142509593916,3,53.28,3.3999999999999986,-0.5076137217272897,5,6,50,1.0,2025-05
QS,2025-05-23,2025-06-03,3.9700000286102295,4.090000152587891,3.0226731262687005,3,56.58,2.299999999999997,0.0,5,6,50,1.0,2025-05
SVM,2025-02-26,2025-03-06,3.75,3.859999895095825,2.933330535888672,3,60.96,-9.799999999999995,0.8064508376086847,5,6,50,1.0,2025-02
AMD,2025-02-11,2025-02-20,111.0999984741211,114.16999816894533,2.7632760908987217,3,50.68000000000001,9.1,-0.812430715787873,5,6,50,1.0,2025-02
WBD,2025-06-23,2025-07-01,10.68000030517578,10.9399995803833,2.434450072829301,3,61.28,5.300000000000004,-0.7434936989250412,5,6,50,1.0,2025-06
SVM,2025-04-17,2025-04-28,3.740000009536743,3.759999990463257,0.5347588469389063,3,66.02000000000001,2.699999999999996,-0.5319143876925793,5,6,50,1.0,2025-04
SVM,2025-04-29,2025-05-07,3.7300000190734863,3.740000009536743,0.2680962576976282,3,63.04,1.8999999999999984,-0.797871581538869,5,6,50,1.0,2025-04
QS,2025-06-13,2025-06-24,4.340000152587891,4.329999923706055,-0.2304200122175783,3,56.42,8.899999999999999,-0.2298793623886846,5,6,50,1.0,2025-06
