Data,Preço_Sinal,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d,Stock
2025-02-28 00:00:00,30.790000915527344,-2.57,30.0,-22.9,23.74,-20.01,24.63,AAPB
2025-03-21 00:00:00,24.76000022888184,-0.53,24.63,-27.06,18.06,-25.85,18.36,AAPB
2025-03-31 00:00:00,25.600000381469727,-34.45,16.78,-20.59,20.33,-14.3,21.94,AAPB
2025-04-09 00:00:00,19.700000762939453,-5.33,18.65,8.32,21.34,-3.25,19.06,AAPB
2025-05-13 00:00:00,22.09000015258789,-5.61,20.85,-11.77,19.49,-13.63,19.08,AAPB
2025-03-18 00:00:00,17.657997131347656,-4.77,16.82,-4.54,16.86,1.02,17.84,AAPD
2025-04-08 00:00:00,21.43453025817871,-16.77,17.84,-17.89,17.6,-14.5,18.33,AAPD
2025-05-07 00:00:00,18.32563018798828,-7.97,16.87,-3.25,17.73,-2.49,17.87,AAPD
2025-06-09 00:00:00,17.80913543701172,1.62,18.1,0.73,17.94,-4.21,17.06,AAPD
2025-06-11 00:00:00,18.047517776489254,1.38,18.3,-0.98,17.87,-5.42,17.07,AAPD
2025-06-13 00:00:00,18.27596664428711,-2.45,17.83,-4.03,17.54,-5.72,17.23,AAPD
2025-06-24 00:00:00,17.940000534057617,-3.46,17.32,-4.91,17.06,,,AAPD
2025-03-17 00:00:00,19.68000030517578,-3.61,18.97,11.53,21.95,4.12,20.49,AAPG
2025-06-06 00:00:00,28.3799991607666,11.03,31.51,30.9,37.15,45.7,41.35,AAPG
2025-02-04 00:00:00,232.23977661132807,0.03,232.32,5.3,244.55,1.37,235.43,AAPL
2025-02-24 00:00:00,246.77639770507807,-3.67,237.72,-7.94,227.18,-10.67,220.44,AAPL
2025-02-28 00:00:00,241.5232696533203,-1.15,238.76,-11.72,213.21,-9.9,217.61,AAPL
2025-03-27 00:00:00,223.5568389892578,-9.23,202.92,-14.93,190.17,-6.51,209.01,AAPL
2025-03-31 00:00:00,221.83909606933597,-18.31,181.22,-8.83,202.25,-4.92,210.93,AAPL
2025-04-09 00:00:00,198.58958435058597,-2.3,194.02,4.79,208.1,-0.68,197.23,AAPL
2025-05-13 00:00:00,212.92999267578125,-2.85,206.86,-5.88,200.42,-6.65,198.78,AAPL
2025-07-09 00:00:00,211.13999938964844,-0.46,210.16,,,,,AAPL
2025-02-04 00:00:00,31.508316040039062,-0.09,31.48,10.18,34.72,1.6,32.01,AAPU
2025-02-24 00:00:00,35.3394775390625,-7.52,32.68,-15.98,29.69,-21.77,27.65,AAPU
2025-02-28 00:00:00,33.71024703979492,-2.52,32.86,-22.96,25.97,-20.13,26.92,AAPU
2025-03-31 00:00:00,27.949338912963867,-34.43,18.33,-20.56,22.2,-14.5,23.9,AAPU
2025-04-09 00:00:00,21.395288467407227,-4.93,20.34,8.71,23.26,-2.93,20.77,AAPU
2025-05-13 00:00:00,24.054759979248047,-5.67,22.69,-11.97,21.18,-13.66,20.77,AAPU
2025-07-09 00:00:00,23.13999938964844,-1.08,22.89,,,,,AAPU
2025-03-26 00:00:00,9.420000076293944,-0.74,9.35,-17.3,7.79,-12.74,8.22,AARD
2025-05-12 00:00:00,10.970000267028809,-4.92,10.43,-10.48,9.82,7.29,11.77,AARD
2025-06-23 00:00:00,13.329999923706056,1.43,13.52,-2.18,13.04,,,AARD
2025-02-20 00:00:00,21.316415786743164,1.82,21.7,-1.34,21.03,-5.4,20.17,AAT
2025-03-05 00:00:00,21.355138778686523,-6.72,19.92,-4.65,20.36,-6.08,20.06,AAT
2025-03-19 00:00:00,20.362104415893555,-1.88,19.98,-1.5,20.06,-9.03,18.52,AAT
2025-04-02 00:00:00,20.05731201171875,-9.17,18.22,-7.65,18.52,-7.7,18.51,AAT
2025-04-09 00:00:00,18.218725204467773,1.67,18.52,0.59,18.33,3.99,18.95,AAT
2025-04-11 00:00:00,17.99258804321289,2.57,18.45,3.88,18.69,6.83,19.22,AAT
2025-06-02 00:00:00,19.870502471923828,1.61,20.19,2.66,20.4,-0.2,19.83,AAT
2025-06-04 00:00:00,19.899999618530277,2.11,20.32,2.16,20.33,1.56,20.21,AAT
2025-07-08 00:00:00,20.31999969482422,2.07,20.74,,,,,AAT
2025-04-30 00:00:00,12.09000015258789,4.81,12.67,-6.95,11.25,12.16,13.56,AAUC
2025-01-23 00:00:00,26.309999465942383,-0.24,26.25,-0.53,26.17,-3.58,25.37,AAVM
2025-03-07 00:00:00,24.729999542236328,-1.6,24.33,0.07,24.75,-11.1,21.99,AAVM
2025-06-23 00:00:00,26.440000534057617,2.8,27.18,1.78,26.91,,,AAVM
2025-01-23 00:00:00,72.1759033203125,0.96,72.87,0.78,72.74,5.34,76.03,AAXJ
2025-06-12 00:00:00,81.45111846923828,-2.36,79.53,1.47,82.65,1.84,82.95,AAXJ
2025-07-16 00:00:00,84.12999725341797,,,,,,,AAXJ
2025-02-28 00:00:00,36.93871688842773,0.4,37.09,-1.57,36.36,1.89,37.64,AB
2025-04-09 00:00:00,35.212425231933594,2.92,36.24,5.35,37.1,16.15,40.9,AB
2025-04-24 00:00:00,37.09564971923828,7.93,40.04,10.26,40.9,4.7,38.84,AB
2025-06-18 00:00:00,39.880001068115234,2.56,40.9,3.06,41.1,3.27,41.18,AB
2025-02-04 00:00:00,1.559999942779541,-21.79,1.22,-23.72,1.19,-34.62,1.02,ABAT
2025-02-13 00:00:00,1.2999999523162842,-23.85,0.99,-23.08,1.0,-24.62,0.98,ABAT
2025-03-19 00:00:00,1.090000033378601,-7.34,1.01,-6.42,1.02,-1.83,1.07,ABAT
2025-04-24 00:00:00,1.2000000476837158,30.0,1.56,17.5,1.41,7.5,1.29,ABAT
2025-02-03 00:00:00,186.7856292724609,0.11,186.98,3.21,192.79,9.27,204.09,ABBV
2025-02-11 00:00:00,188.44581604003903,2.88,193.87,5.83,199.43,10.55,208.32,ABBV
2025-02-18 00:00:00,192.787841796875,4.02,200.54,5.86,204.09,8.97,210.08,ABBV
2025-05-12 00:00:00,188.44241333007807,-2.29,184.12,-2.29,184.13,-0.3,187.88,ABBV
2025-07-08 00:00:00,188.14498901367188,-0.93,186.39,,,,,ABBV
2025-01-24 00:00:00,63.98662185668945,1.93,65.22,5.88,67.75,-1.91,62.76,ABCB
2025-02-11 00:00:00,67.8510513305664,-3.65,65.38,-7.57,62.72,-17.31,56.11,ABCB
2025-02-27 00:00:00,62.87398147583008,-5.88,59.18,-12.21,55.19,-7.81,57.97,ABCB
2025-04-09 00:00:00,54.73086929321289,-3.68,52.72,3.46,56.63,10.53,60.49,ABCB
2025-04-28 00:00:00,56.78451919555664,5.62,59.97,10.46,62.73,10.01,62.47,ABCB
2025-06-03 00:00:00,61.32050323486328,2.67,62.96,-2.86,59.57,9.36,67.06,ABCB
2025-06-18 00:00:00,60.473121643066406,6.82,64.6,12.02,67.74,11.72,67.56,ABCB
2025-06-23 00:00:00,62.30745315551758,3.84,64.7,7.88,67.22,,,ABCB
2025-07-01 00:00:00,66.30999755859375,1.45,67.27,0.21,66.45,,,ABCB
2025-02-12 00:00:00,3.0999999046325684,1.29,3.14,-5.81,2.92,-22.58,2.4,ABCL
2025-04-09 00:00:00,2.1700000762939453,10.14,2.39,19.82,2.6,-7.37,2.01,ABCL
2025-04-30 00:00:00,2.609999895095825,-22.99,2.01,-21.46,2.05,-21.84,2.04,ABCL
2025-01-23 00:00:00,29.58304023742676,0.56,29.75,-0.52,29.43,-2.7,28.79,ABCS
2025-01-27 00:00:00,29.680482864379883,-1.37,29.27,-1.44,29.25,-2.74,28.87,ABCS
2025-04-11 00:00:00,25.49402618408203,-1.73,25.05,3.9,26.49,10.81,28.25,ABCS
2025-04-29 00:00:00,26.64655303955078,0.68,26.83,6.41,28.36,4.18,27.76,ABCS
2025-05-15 00:00:00,28.26128387451172,-2.29,27.61,-1.44,27.85,-1.47,27.85,ABCS
2025-06-23 00:00:00,28.230403900146484,1.87,28.76,3.33,29.17,,,ABCS
2025-01-23 00:00:00,5.25,4.19,5.47,12.0,5.88,10.1,5.78,ABEO
2025-02-12 00:00:00,6.0,-3.0,5.82,-14.33,5.14,-12.0,5.28,ABEO
2025-04-21 00:00:00,4.920000076293945,8.74,5.35,30.08,6.4,26.63,6.23,ABEO
2025-05-15 00:00:00,5.789999961853027,13.64,6.58,7.77,6.24,6.39,6.16,ABEO
2025-07-02 00:00:00,5.869999885559082,-0.34,5.85,12.95,6.63,,,ABEO
2025-04-09 00:00:00,2.299999952316284,1.3,2.33,6.96,2.46,10.0,2.53,ABEV
2025-02-11 00:00:00,300.989990234375,-2.16,294.5,-9.42,272.63,-19.26,243.03,ABG
2025-04-09 00:00:00,233.2100067138672,-7.05,216.78,-5.01,221.53,-3.15,225.86,ABG
2025-05-30 00:00:00,227.91000366210935,1.83,232.07,2.01,232.49,4.66,238.54,ABG
2025-06-23 00:00:00,239.44000244140625,-0.38,238.54,6.12,254.09,,,ABG
2025-07-01 00:00:00,248.9199981689453,4.86,261.01,-0.33,248.11,,,ABG
2025-04-11 00:00:00,27.10400009155273,-5.14,25.71,1.59,27.53,7.31,29.08,ABIG
2025-04-29 00:00:00,27.683000564575195,1.34,28.05,5.67,29.25,3.23,28.58,ABIG
2025-05-15 00:00:00,29.32099914550781,-2.13,28.69,-2.22,28.67,-1.79,28.8,ABIG
2025-05-30 00:00:00,28.66900062561035,1.58,29.12,0.44,28.8,4.26,29.89,ABIG
2025-02-04 00:00:00,7.789999961853027,-2.44,7.6,-2.31,7.61,-1.54,7.67,ABL
2025-03-18 00:00:00,7.849999904632568,-6.37,7.35,-6.62,7.33,1.91,8.0,ABL
2025-04-02 00:00:00,7.869999885559082,-9.78,7.1,1.91,8.02,4.83,8.25,ABL
2025-06-13 00:00:00,6.059999942779541,-10.07,5.45,-15.18,5.14,-19.8,4.86,ABL
2025-06-26 00:00:00,5.440000057220459,-0.92,5.39,-9.38,4.93,,,ABL
2025-02-11 00:00:00,26.02633285522461,0.32,26.11,-1.26,25.7,-2.31,25.43,ABLLL
2025-03-17 00:00:00,47.17278289794922,-0.34,47.01,-0.69,46.85,-1.02,46.69,ABM
2025-04-09 00:00:00,45.05135726928711,1.72,45.83,6.64,48.04,12.08,50.49,ABM
2025-07-07 00:00:00,48.220001220703125,2.63,49.49,,,,,ABM
2025-07-14 00:00:00,49.4900016784668,,,,,,,ABM
2025-01-23 00:00:00,133.24000549316406,-1.09,131.79,-0.5,132.57,9.63,146.07,ABNB
2025-02-12 00:00:00,140.52000427246094,10.53,155.31,-0.76,139.45,-15.04,119.38,ABNB
2025-07-01 00:00:00,135.41000366210938,1.06,136.85,0.96,136.71,,,ABNB
2025-07-14 00:00:00,138.57000732421875,,,,,,,ABNB
2025-04-21 00:00:00,1.059999942779541,-2.83,1.03,-1.89,1.04,0.94,1.07,ABOS
2025-02-05 00:00:00,0.9900000095367432,0.2,0.99,-5.05,0.94,-46.36,0.53,ABP
2025-03-24 00:00:00,0.4769999980926513,-13.21,0.41,-36.06,0.31,-44.03,0.27,ABP
2025-06-23 00:00:00,0.2360000014305114,-9.75,0.21,-16.95,0.2,,,ABP
2025-07-11 00:00:00,0.2070000022649765,-5.36,0.2,,,,,ABP
2025-02-03 00:00:00,12.667119979858398,1.48,12.85,2.22,12.95,-9.11,11.51,ABR
2025-02-11 00:00:00,12.911080360412598,0.44,12.97,-10.9,11.5,-7.67,11.92,ABR
2025-02-28 00:00:00,11.578686714172363,2.7,11.89,4.21,12.07,-1.24,11.43,ABR
2025-03-07 00:00:00,11.891530990600586,1.47,12.07,0.33,11.93,-8.34,10.9,ABR
2025-04-09 00:00:00,10.773358345031738,-3.16,10.43,0.81,10.86,-6.23,10.1,ABR
2025-05-23 00:00:00,9.479999542236328,-0.32,9.45,9.92,10.42,11.29,10.55,ABR
2025-06-23 00:00:00,10.4399995803833,2.49,10.7,5.17,10.98,,,ABR
2025-07-10 00:00:00,11.25,0.89,11.35,,,,,ABR
2025-02-11 00:00:00,4.909999847412109,13.44,5.57,-14.05,4.22,-36.46,3.12,ABSI
2025-03-20 00:00:00,3.039999961853028,-7.57,2.81,-26.48,2.23,1.64,3.09,ABSI
2025-04-09 00:00:00,2.5799999237060547,18.22,3.05,24.81,3.22,8.53,2.8,ABSI
2025-04-15 00:00:00,3.119999885559082,2.24,3.19,-1.6,3.07,-6.73,2.91,ABSI
2025-02-03 00:00:00,127.286376953125,2.23,130.12,1.35,129.0,7.11,136.33,ABT
2025-03-07 00:00:00,135.8976593017578,-7.61,125.56,-7.88,125.2,-9.26,123.31,ABT
2025-03-31 00:00:00,131.44833374023438,-5.87,123.73,-3.54,126.8,-1.17,129.92,ABT
2025-05-06 00:00:00,132.46539306640625,-3.01,128.47,1.61,134.6,-0.08,132.37,ABT
2025-05-01 00:00:00,2.859999895095825,-18.53,2.33,11.89,3.2,43.36,4.1,ABTS
2025-06-04 00:00:00,4.289000034332275,4.29,4.47,-11.17,3.81,13.78,4.88,ABTS
2025-01-23 00:00:00,3.3399999141693115,-1.2,3.3,2.1,3.41,2.4,3.42,ABUS
2025-04-09 00:00:00,3.1700000762939453,-3.47,3.06,5.36,3.34,4.1,3.3,ABUS
2025-05-19 00:00:00,3.130000114440918,10.22,3.45,10.22,3.45,10.22,3.45,ABUS
2025-07-01 00:00:00,3.180000066757202,5.03,3.34,-1.57,3.13,,,ABUS
2025-02-14 00:00:00,0.4569999873638153,62.36,0.74,50.98,0.69,42.45,0.65,ABVC
2025-03-17 00:00:00,0.6510000228881836,9.06,0.71,62.83,1.06,41.32,0.92,ABVC
2025-04-16 00:00:00,0.9700000286102296,-6.08,0.91,6.19,1.03,24.74,1.21,ABVC
2025-04-23 00:00:00,0.8759999871253967,21.0,1.06,44.98,1.27,35.84,1.19,ABVC
2025-06-11 00:00:00,1.1299999952316284,13.27,1.28,7.52,1.22,221.24,3.63,ABVE
2025-04-11 00:00:00,5.9720001220703125,4.32,6.23,21.57,7.26,7.17,6.4,ABVX
2025-01-29 00:00:00,36.223915100097656,0.5,36.4,3.5,37.49,2.75,37.22,AC
2025-02-10 00:00:00,38.24854278564453,2.82,39.33,-2.82,37.17,-8.47,35.01,AC
2025-04-17 00:00:00,33.96989440917969,2.47,34.81,8.31,36.79,8.9,36.99,AC
2025-04-24 00:00:00,35.18666458129883,-0.62,34.97,0.88,35.5,6.8,37.58,AC
2025-04-09 00:00:00,78.1061019897461,-1.39,77.02,3.01,80.45,11.08,86.76,ACA
2025-04-24 00:00:00,80.45494842529297,1.93,82.0,7.84,86.76,5.3,84.72,ACA
2025-02-12 00:00:00,19.100000381469727,6.23,20.29,1.26,19.34,-12.15,16.78,ACAD
2025-02-28 00:00:00,19.600000381469727,-10.41,17.56,-10.71,17.5,-12.91,17.07,ACAD
2025-04-02 00:00:00,16.6200008392334,-9.99,14.96,-12.33,14.57,-12.33,14.57,ACAD
2025-04-09 00:00:00,14.960000038146973,-2.61,14.57,-0.87,14.83,13.17,16.93,ACAD
2025-04-24 00:00:00,14.829999923706056,-1.75,14.57,14.16,16.93,45.31,21.55,ACAD
2025-05-23 00:00:00,21.979999542236328,-2.32,21.47,1.46,22.3,1.96,22.41,ACAD
2025-04-09 00:00:00,4.260000228881836,1.88,4.34,10.56,4.71,11.5,4.75,ACB
2025-04-16 00:00:00,4.340000152587891,8.53,4.71,9.45,4.75,14.29,4.96,ACB
2025-05-22 00:00:00,5.489999771118164,-3.46,5.3,4.19,5.72,-28.78,3.91,ACB
2025-01-27 00:00:00,5.156627655029297,-4.86,4.91,-6.73,4.81,-15.7,4.35,ACCO
2025-02-04 00:00:00,4.983133792877197,-1.74,4.9,7.54,5.36,-14.12,4.28,ACCO
2025-03-06 00:00:00,4.356627941131592,4.2,4.54,2.52,4.47,-9.62,3.94,ACCO
2025-03-19 00:00:00,4.466301441192627,-3.51,4.31,-6.14,4.19,-21.05,3.53,ACCO
2025-04-09 00:00:00,3.800274133682251,-7.22,3.53,0.0,3.8,-4.12,3.64,ACCO
2025-04-29 00:00:00,3.8394522666931152,-8.93,3.5,0.0,3.84,-7.8,3.54,ACCO
2025-06-23 00:00:00,3.4600000381469727,3.47,3.58,12.43,3.89,,,ACCO
2025-07-01 00:00:00,3.839999914169312,0.0,3.84,-4.17,3.68,,,ACCO
2025-01-23 00:00:00,9.449999809265137,5.61,9.98,2.43,9.68,5.82,10.0,ACCS
2025-01-27 00:00:00,9.75,-2.15,9.54,-1.54,9.6,0.0,9.75,ACCS
2025-02-07 00:00:00,9.970000267028809,7.52,10.72,-8.22,9.15,-7.22,9.25,ACCS
2025-03-06 00:00:00,9.699999809265137,-5.26,9.19,-6.7,9.05,-6.91,9.03,ACCS
2025-03-21 00:00:00,9.3100004196167,-0.64,9.25,-5.37,8.81,-10.31,8.35,ACCS
2025-04-28 00:00:00,8.770000457763672,-3.08,8.5,2.62,9.0,14.48,10.04,ACCS
2025-05-06 00:00:00,8.739999771118164,3.2,9.02,3.55,9.05,16.13,10.15,ACCS
2025-05-22 00:00:00,9.260000228881836,9.29,10.12,9.61,10.15,24.84,11.56,ACCS
2025-03-27 00:00:00,8.199999809265137,-18.6,6.68,-43.78,4.61,-41.83,4.77,ACDC
2025-04-01 00:00:00,8.029999732971191,-46.33,4.31,-44.02,4.49,-48.32,4.15,ACDC
2025-04-09 00:00:00,5.300000190734863,-14.72,4.52,-12.08,4.66,-25.0,3.97,ACDC
2025-04-25 00:00:00,4.769999980926514,2.52,4.89,-7.76,4.4,35.85,6.48,ACDC
2025-05-01 00:00:00,4.590000152587891,-13.4,3.97,36.82,6.28,81.7,8.34,ACDC
2025-05-19 00:00:00,6.409999847412109,9.13,6.99,27.93,8.2,64.27,10.53,ACDC
2025-02-11 00:00:00,11.81999969482422,4.48,12.35,0.34,11.86,-15.99,9.93,ACEL
2025-04-09 00:00:00,10.699999809265137,4.67,11.2,5.14,11.25,6.36,11.38,ACEL
2025-06-02 00:00:00,11.239999771118164,1.78,11.44,0.0,11.24,6.94,12.02,ACEL
2025-06-12 00:00:00,11.699999809265137,-3.59,11.28,1.71,11.9,4.79,12.26,ACEL
2025-07-01 00:00:00,12.020000457763672,1.83,12.24,0.17,12.04,,,ACEL
2025-02-13 00:00:00,0.8999999761581421,8.11,0.97,-0.11,0.9,-13.0,0.78,ACET
2025-05-20 00:00:00,0.7490000128746033,-12.82,0.65,5.61,0.79,-10.68,0.67,ACET
2025-05-29 00:00:00,0.7200000286102295,4.17,0.75,8.33,0.78,-13.06,0.63,ACET
2025-03-06 00:00:00,91.37999725341795,-1.06,90.41,1.17,92.45,5.36,96.28,ACGL
2025-03-13 00:00:00,90.41000366210938,2.26,92.45,7.22,96.94,0.19,90.58,ACGL
2025-04-11 00:00:00,92.12999725341795,-2.54,89.79,-1.02,91.19,2.71,94.63,ACGL
2025-06-12 00:00:00,91.91000366210938,-1.89,90.17,-1.73,90.32,-1.44,90.59,ACGL
2025-07-14 00:00:00,90.58999633789062,,,,,,,ACGL
2025-02-04 00:00:00,17.937925338745117,2.1,18.32,0.05,17.95,-0.08,17.92,ACGLN
2025-04-09 00:00:00,16.934173583984375,-2.32,16.54,0.17,16.96,-1.16,16.74,ACGLN
2025-05-06 00:00:00,16.806331634521484,-0.06,16.8,-0.12,16.79,-0.35,16.75,ACGLN
2025-05-19 00:00:00,16.77682876586914,-0.12,16.76,-0.35,16.72,-1.29,16.56,ACGLN
2025-06-20 00:00:00,16.709999084472656,1.56,16.97,0.6,16.81,,,ACGLN
2025-02-10 00:00:00,21.087303161621094,0.35,21.16,0.09,21.11,-2.62,20.54,ACGLO
2025-02-27 00:00:00,21.174400329589844,-1.51,20.86,-2.15,20.72,-2.31,20.69,ACGLO
2025-03-13 00:00:00,20.719558715820312,0.95,20.92,-0.16,20.69,-3.15,20.07,ACGLO
2025-04-09 00:00:00,20.51402473449707,-2.97,19.9,-0.34,20.45,-1.58,20.19,ACGLO
2025-05-15 00:00:00,20.19933319091797,-0.73,20.05,-0.49,20.1,-0.29,20.14,ACGLO
2025-05-19 00:00:00,20.29767227172852,-0.34,20.23,-0.44,20.21,-1.07,20.08,ACGLO
2025-07-02 00:00:00,20.63999938964844,0.44,20.73,0.58,20.76,,,ACGLO
2025-07-10 00:00:00,20.729999542236328,0.14,20.76,,,,,ACGLO
2025-03-19 00:00:00,29.26000022888184,1.37,29.66,-0.17,29.21,-18.52,23.84,ACHC
2025-04-09 00:00:00,29.100000381469727,-18.08,23.84,-23.78,22.18,-16.77,24.22,ACHC
2025-05-06 00:00:00,23.799999237060547,13.19,26.94,5.88,25.2,-5.04,22.6,ACHC
2025-02-28 00:00:00,8.880000114440918,-15.32,7.52,-11.04,7.9,-18.24,7.26,ACHR
2025-04-02 00:00:00,7.199999809265137,3.19,7.43,-2.08,7.05,17.78,8.48,ACHR
2025-04-07 00:00:00,6.659999847412109,8.86,7.25,10.21,7.34,28.08,8.53,ACHR
2025-04-09 00:00:00,7.429999828338623,-5.11,7.05,15.21,8.56,17.9,8.76,ACHR
2025-07-10 00:00:00,10.779999732971191,24.3,13.4,,,,,ACHR
2025-07-14 00:00:00,10.800000190734863,,,,,,,ACHR
2025-03-21 00:00:00,2.809999942779541,-1.07,2.78,-22.42,2.18,-19.93,2.25,ACHV
2025-04-11 00:00:00,2.180000066757202,3.21,2.25,9.17,2.38,13.76,2.48,ACHV
2025-04-21 00:00:00,2.25,5.78,2.38,17.33,2.64,47.11,3.31,ACHV
2025-06-06 00:00:00,3.829999923706055,-15.14,3.25,0.26,3.84,-40.99,2.26,ACHV
2025-01-23 00:00:00,19.498313903808597,2.14,19.92,5.09,20.49,4.69,20.41,ACI
2025-01-29 00:00:00,19.885698318481445,1.9,20.26,7.69,21.42,4.0,20.68,ACI
2025-03-11 00:00:00,21.316038131713867,2.61,21.87,-3.03,20.67,-2.42,20.8,ACI
2025-03-17 00:00:00,21.78288459777832,-5.15,20.66,0.27,21.84,-1.64,21.43,ACI
2025-03-26 00:00:00,21.018051147460938,6.0,22.28,0.66,21.16,5.67,22.21,ACI
2025-05-06 00:00:00,21.93000030517578,-0.96,21.72,0.23,21.98,-2.42,21.4,ACI
2025-05-15 00:00:00,21.899999618530277,-0.32,21.83,1.51,22.23,-3.11,21.22,ACI
2025-04-25 00:00:00,11.18000030517578,4.56,11.69,-0.18,11.16,-2.95,10.85,ACIC
2025-05-16 00:00:00,11.0600004196167,-1.9,10.85,1.99,11.28,-5.24,10.48,ACIC
2025-06-02 00:00:00,11.279999732971191,-3.19,10.92,-7.09,10.48,-2.48,11.0,ACIC
2025-06-27 00:00:00,10.6899995803833,2.34,10.94,1.12,10.81,,,ACIC
2025-01-30 00:00:00,2.700000047683716,-0.37,2.69,-0.74,2.68,-5.93,2.54,ACIU
2025-05-30 00:00:00,1.7100000381469729,19.3,2.04,14.04,1.95,18.71,2.03,ACIU
2025-01-27 00:00:00,53.25,0.3,53.41,-0.53,52.97,-5.05,50.56,ACIW
2025-04-09 00:00:00,53.34999847412109,-3.82,51.31,-2.47,52.03,-9.17,48.46,ACIW
2025-04-11 00:00:00,51.880001068115234,-4.14,49.73,1.73,52.78,-6.01,48.76,ACIW
2025-06-09 00:00:00,47.790000915527344,-4.67,45.56,-3.66,46.04,-4.94,45.43,ACIW
2025-06-23 00:00:00,45.369998931884766,1.19,45.91,1.23,45.93,,,ACIW
