symbol,signal_type,signal_strength,cycle_status,off_exchange_pct,off_exchange_trend,price_change_3d,volume_trend,current_price,period,reasons,avg_volume,volatility
GOOGL,🟢 ACUMULAÇÃO CRESCENDO,4,COMPRAS INTENSIFICANDO,35.67969373338465,108.52336580635634,0.4337837602907363,1.2604663350237173,192.1699981689453,22/07 - 24/07,Off-exchange crescendo (+108.5%) + preço estável (0.4%) + volume alto,59407933,7.227954989714125
QS,🔴 DISTRIBUIÇÃO DESACELERANDO,3,VENDAS DIMINUINDO,46.928300216336254,-29.255454778623125,-8.478261305238734,0.7923506630790704,12.630000114440918,22/07 - 24/07,Off-exchange alto (46.9%) mas diminuindo (-29.3%) + preço caindo (-8.5%),82679933,4.011234224026314
U,🔴 DISTRIBUIÇÃO DESACELERANDO,3,VENDAS DIMINUINDO,43.41637814939605,-49.51774656554079,-2.600056679960714,0.6667328837451691,33.34000015258789,22/07 - 24/07,Off-exchange alto (43.4%) mas diminuindo (-49.5%) + preço caindo (-2.6%),12920466,2.80059517483933
FCX,🔴 DISTRIBUIÇÃO DESACELERANDO,3,VENDAS DIMINUINDO,41.38756944726652,-24.405000194097493,-2.663749839145541,0.7677021590335147,44.58000183105469,22/07 - 24/07,Off-exchange alto (41.4%) mas diminuindo (-24.4%) + preço caindo (-2.7%),17225300,2.936551265231602
RKLB,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,51.89208552233232,-46.088853111838446,2.6663821918088004,0.6852844882908948,48.130001068115234,22/07 - 24/07,Off-exchange muito alto (51.9%),18387400,1.2701705922171782
INTR,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,41.58346874449382,-43.95084168224278,0.2980623071954087,0.7501321482409601,6.730000019073486,22/07 - 24/07,Off-exchange muito alto (41.6%),1702633,3.567912554982254
TRIP,⚠️ MUDANÇA DE CICLO,2,SAINDO DE DISTRIBUIÇÃO,35.85073180553982,-24.97928272826575,0.6183175792133961,0.9661343300487031,17.899999618530273,22/07 - 24/07,Mudança brusca no off-exchange: -25.0%,2648700,0.6999999999999993
WBD,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,70.91979040910674,60.65442128243615,5.0583626399544706,1.1936961681121714,13.5,22/07 - 24/07,Off-exchange muito alto (70.9%),106798533,7.247298347200376
DDOG,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,41.7214226157389,-26.321547980403924,1.15259726411775,0.8730743270070673,146.55999755859375,22/07 - 24/07,Off-exchange muito alto (41.7%),3358133,1.824828759089465
XP,⚠️ MUDANÇA DE CICLO,2,SAINDO DE DISTRIBUIÇÃO,33.101164752188936,-43.39017459896078,-1.0107020177072716,0.8570567917101776,16.649999618530273,22/07 - 24/07,Mudança brusca no off-exchange: -43.4%,4149666,5.294336596779622
MRVL,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,40.601819051616104,-4.483969539515787,2.8476220483255763,0.9369436528364351,74.04000091552734,22/07 - 24/07,Off-exchange muito alto (40.6%),11357566,1.8520259177452147
SOUN,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,63.69911339555704,119.2869515833622,5.467371051292203,1.2468616452404657,11.960000038146973,22/07 - 24/07,Off-exchange muito alto (63.7%),37931233,10.9051975375659
ZETA,🟠 DISTRIBUIÇÃO MASSIVA,2,VENDAS INSTITUCIONAIS,45.47344447036946,8.219688243251433,1.728556080293517,0.9142930772097105,15.890000343322754,22/07 - 24/07,Off-exchange muito alto (45.5%),9571766,6.630233781700313
