date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-01-27,FCX,18550500,36.38701248168945,36.93277111023029,36.93277111023029,36.297710653665206,6057504,2418719,1106,12492996,32.7,67.3,39.9
2025-01-28,FCX,16842900,35.563419342041016,36.59539446808841,36.71446735639884,35.1863507795893,7032382,2523999,11517,9810518,41.8,58.2,35.9
2025-01-29,FCX,12599900,36.000022888183594,35.70233877120451,36.55570268240109,35.66264654620492,4665646,1653641,18780,7934254,37.0,63.0,35.4
2025-01-30,FCX,11821900,36.357242584228516,36.3870098580903,36.535853797916474,35.79164166930287,4345369,1168420,383,7476531,36.8,63.2,26.9
2025-01-31,FCX,13385200,35.57333755493164,36.079403912478604,36.35724189057745,35.41457245526679,4805997,1502255,154,8579203,35.9,64.1,31.3
2025-02-03,FCX,15940400,35.58326721191406,35.097046900636734,35.861105226781646,34.620751538609845,5822860,1778007,2045,10117540,36.5,63.5,30.5
2025-02-04,FCX,14490600,36.19847869873047,35.751950649495804,36.704545082949345,35.751950649495804,5310369,1692935,8631,9180231,36.6,63.4,31.9
2025-02-05,FCX,14888300,36.396934509277344,35.9900987003647,36.724385874861376,35.692414608399595,5142717,1885845,3691,9745583,34.5,65.5,36.7
2025-02-06,FCX,13748200,36.863311767578125,37.250301498379635,37.64721239280678,36.49616436402789,4995968,1558497,3083,8752232,36.3,63.7,31.2
2025-02-07,FCX,21532000,37.925052642822266,38.19296947294331,38.88756445630296,37.57775136588368,8435039,3822354,801,13096961,39.2,60.8,45.3
2025-02-10,FCX,16243400,38.1631965637207,38.57995731880287,38.60972459228782,38.10366201675081,4766734,2058728,81,11476666,29.3,70.7,43.2
2025-02-11,FCX,13957900,37.2999153137207,37.4189882048851,37.92505461653696,37.16099630981908,5984781,1820190,6914,7973119,42.9,57.1,30.4
2025-02-12,FCX,10946500,37.667057037353516,37.37929409505878,38.143352363259226,37.17091559971106,4700864,1715422,3783,6245636,42.9,57.1,36.5
2025-02-13,FCX,21444700,39.90961837768555,38.39142300747398,40.038612425835595,38.1830445125312,8961445,4343763,10665,12483255,41.8,58.2,48.5
2025-02-14,FCX,17559200,39.165409088134766,40.2172265882815,40.485143437920485,38.97687290583749,7102163,2624135,1991,10457037,40.4,59.6,36.9
2025-02-18,FCX,12261300,38.9967155456543,39.17532676283854,39.215018985603635,38.302116788299905,4249251,1277783,344,8012049,34.7,65.3,30.1
2025-02-19,FCX,12101200,38.2723503112793,38.649418864886734,38.65934002815537,37.89528175767187,3920170,1347147,983,8181030,32.4,67.6,34.4
2025-02-20,FCX,11471600,38.659339904785156,38.63949379305244,39.32417139942556,38.292196300876775,3854479,903393,868,7617121,33.6,66.4,23.4
2025-02-21,FCX,16151100,36.694618225097656,38.64941659155286,38.64941659155286,36.555699235955196,5472531,1520947,4144,10678569,33.9,66.1,27.8
2025-02-24,FCX,8418400,36.82361602783203,36.9029966850372,37.15106738984851,36.65492598022589,3227698,897371,1369,5190702,38.3,61.7,27.8
2025-02-25,FCX,10618900,36.476318359375,36.90300031645856,36.94269254159632,35.74203112062115,3363293,1055739,9771,7255607,31.7,68.3,31.4
2025-02-26,FCX,16632700,37.65713882446289,38.24258591815975,38.42119715252551,37.52814098069672,6694557,2621786,15332,9938143,40.2,59.8,39.2
2025-02-27,FCX,13147000,37.131221771240234,38.49065197700551,38.55018652438361,36.99230278034653,5150365,1667486,327,7996635,39.2,60.8,32.4
2025-02-28,FCX,14779600,36.625160217285156,36.42670288820039,36.73431193754472,35.95040756955216,5263523,1564045,6896,9516077,35.6,64.4,29.7
2025-03-03,FCX,18101200,35.25580978393555,37.805976502159346,38.19297000792747,35.12681573393832,6874688,1621218,30427,11226512,38.0,62.0,23.6
2025-03-04,FCX,18310700,34.630672454833984,35.12681387232296,35.34511352204225,33.995608260830856,6334248,1593909,20172,11976452,34.6,65.4,25.2
2025-03-05,FCX,29191000,37.865516662597656,36.13894268952672,38.04412789378634,36.06948318687102,11029897,4232998,6310,18161103,37.8,62.2,38.4
2025-03-06,FCX,18546800,37.389217376708984,37.706747579823656,38.70895157366834,37.01214884103834,7538048,2636659,20455,11008752,40.6,59.4,35.0
