Date,Open,High,Low,Close,Volume
2025-01-21,274.28355193055853,278.09815037280214,272.7198525858548,274.4229736328125,897700
2025-01-22,272.15215358689983,274.74171355180687,268.97496773373905,273.2776184082031,597800
2025-01-23,274.1939124529425,274.6919035982584,272.1521609151343,273.7257995605469,536700
2025-01-24,274.492688424925,276.75355697811295,273.56643231412215,276.4248962402344,749800
2025-01-27,273.2078712436698,274.4827272270413,272.1820108070112,273.8851318359375,667200
2025-01-28,275.09030700260126,277.9388016210394,272.35135584104194,273.9947204589844,543600
2025-01-29,274.4727787961355,274.8911047205826,270.95696262184845,271.10638427734375,623600
2025-01-30,272.4708652588464,276.0265291056419,271.78363509030726,275.2496337890625,575600
2025-01-31,275.57832633025106,276.2854652047055,272.72980134004064,273.04852294921875,719600
2025-02-03,269.2339351791764,271.4051692382907,266.1961710112723,270.070556640625,961800
2025-02-04,272.2616934121526,272.85928884145693,270.05064199516903,270.9768981933594,629600
2025-02-05,273.1879657995504,273.5763830516725,270.3394409058082,273.227783203125,758200
2025-02-06,275.43887001306985,276.87308683745795,273.10827527218044,276.0962219238281,710600
2025-02-07,275.6480544825196,276.6141584711664,271.3254952081002,271.823486328125,486300
2025-02-10,273.24773322052465,273.35727667717975,267.1224485325398,267.4809875488281,616600
2025-02-11,265.7579270970476,268.10846098327215,264.45319279732985,266.69415283203125,893200
2025-02-12,254.30413625744242,265.56870767466364,252.52131961370543,262.75006103515625,1091000
2025-02-13,264.7719258538563,268.77576368008164,263.19828722413604,268.2478942871094,934700
2025-02-14,269.154234738985,271.17607749989116,266.69415735448644,269.37335205078125,927800
2025-02-18,279.0244164299017,279.2036859370075,270.05063718127275,271.66412353515625,1433300
2025-02-19,265.47903395491915,269.03469757919106,262.25206146631666,263.9053955078125,1071800
2025-02-20,262.4413014869811,262.66041877992245,255.47939585324042,257.551025390625,708800
2025-02-21,259.63264366786177,259.63264366786177,250.30029491927152,251.8440704345703,782600
2025-02-24,252.35201128288037,253.5671108122055,249.97161437493676,250.54928588867188,866000
