Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-01-21 00:00:00-05:00,23.336248861917866,23.365503311157227,23.316744655742642,23.365503311157227,1000,0.0,0.0,0.0
2025-01-22 00:00:00-05:00,23.29724132246646,23.33624973627847,23.29724132246646,23.30309295654297,10900,0.0,0.0,0.0
2025-01-23 00:00:00-05:00,23.248485847365032,23.277742161728504,23.248485847365032,23.265064239501953,2900,0.0,0.0,0.0
2025-01-24 00:00:00-05:00,23.31284338161233,23.316743850708008,23.31284338161233,23.316743850708008,200,0.0,0.0,0.0
2025-01-27 00:00:00-05:00,23.44839859008789,23.44839859008789,23.44839859008789,23.44839859008789,0,0.0,0.0,0.0
2025-01-28 00:00:00-05:00,23.43376922607422,23.43376922607422,23.43376922607422,23.43376922607422,0,0.0,0.0,0.0
2025-01-29 00:00:00-05:00,23.424018634981422,23.424018634981422,23.385010218125796,23.411340713500977,1300,0.0,0.0,0.0
2025-01-30 00:00:00-05:00,23.47277404947263,23.47277404947263,23.424015395170667,23.446443557739258,1400,0.0,0.0,0.0
2025-01-31 00:00:00-05:00,23.46302275952266,23.46302275952266,23.37525569071955,23.37915802001953,2400,0.0,0.0,0.0
2025-02-03 00:00:00-05:00,23.455545548882593,23.455545548882593,23.377197248480947,23.393844604492188,1400,0.102,0.0,0.0
2025-02-04 00:00:00-05:00,23.465340566386658,23.47415552188977,23.465340566386658,23.468278884887695,1200,0.0,0.0,0.0
2025-02-05 00:00:00-05:00,23.631830521764677,23.631830521764677,23.597553253173828,23.597553253173828,600,0.0,0.0,0.0
2025-02-06 00:00:00-05:00,23.57307150879788,23.57307150879788,23.553483963012695,23.553483963012695,300,0.0,0.0,0.0
2025-02-07 00:00:00-05:00,23.46533966064453,23.46533966064453,23.46533966064453,23.46533966064453,100,0.0,0.0,0.0
2025-02-10 00:00:00-05:00,23.51431058687343,23.51431058687343,23.46534172272814,23.476116180419922,1400,0.0,0.0,0.0
2025-02-11 00:00:00-05:00,23.436941955967903,23.455550685422747,23.436941955967903,23.445756912231445,1300,0.0,0.0,0.0
