Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-21 00:00:00-05:00,9.289999961853027,9.454999923706055,9.289999961853027,9.4399995803833,576900,0.0,0.0
2025-01-22 00:00:00-05:00,9.420000076293945,9.579999923706055,9.40999984741211,9.539999961853027,500100,0.0,0.0
2025-01-23 00:00:00-05:00,9.510000228881836,9.640000343322754,9.460000038146973,9.630000114440918,449600,0.0,0.0
2025-01-24 00:00:00-05:00,9.600000381469727,9.720000267028809,9.59000015258789,9.649999618530273,360100,0.0,0.0
2025-01-27 00:00:00-05:00,9.630000114440918,9.920000076293945,9.5600004196167,9.600000381469727,1084400,0.0,0.0
2025-01-28 00:00:00-05:00,9.640000343322754,9.930000305175781,9.609999656677246,9.710000038146973,1626900,0.0,0.0
2025-01-29 00:00:00-05:00,9.680000305175781,9.854999542236328,9.5600004196167,9.760000228881836,698400,0.0,0.0
2025-01-30 00:00:00-05:00,9.739999771118164,9.90999984741211,9.739999771118164,9.850000381469727,713900,0.0,0.0
2025-01-31 00:00:00-05:00,9.859999656677246,9.9399995803833,9.680000305175781,9.6899995803833,692000,0.0,0.0
2025-02-03 00:00:00-05:00,9.579999923706055,9.800000190734863,9.529999732971191,9.75,667200,0.0,0.0
2025-02-04 00:00:00-05:00,9.739999771118164,9.835000038146973,9.699999809265137,9.789999961853027,456700,0.0,0.0
2025-02-05 00:00:00-05:00,9.819999694824219,9.9399995803833,9.8149995803833,9.869999885559082,1012100,0.0,0.0
2025-02-06 00:00:00-05:00,9.859999656677246,9.895000457763672,9.694999694824219,9.760000228881836,491500,0.0,0.0
2025-02-07 00:00:00-05:00,9.6899995803833,9.8149995803833,9.6899995803833,9.729999542236328,501200,0.0,0.0
2025-02-10 00:00:00-05:00,9.800000190734863,10.0,9.779999732971191,9.989999771118164,693200,0.0,0.0
2025-02-11 00:00:00-05:00,9.9399995803833,10.038999557495117,9.869999885559082,10.010000228881836,553700,0.0,0.0
2025-02-12 00:00:00-05:00,9.930000305175781,10.069999694824219,9.90999984741211,10.029999732971191,760300,0.0,0.0
2025-02-13 00:00:00-05:00,10.09000015258789,10.21500015258789,9.970000267028809,10.15999984741211,413900,0.0,0.0
2025-02-14 00:00:00-05:00,10.210000038146973,10.260000228881836,9.930000305175781,9.930000305175781,580600,0.0,0.0
2025-02-18 00:00:00-05:00,9.880000114440918,9.975000381469727,9.859999656677246,9.960000038146973,859200,0.0,0.0
2025-02-19 00:00:00-05:00,9.869999885559082,10.03600025177002,9.8149995803833,9.979999542236328,926300,0.0,0.0
2025-02-20 00:00:00-05:00,9.970000267028809,10.010000228881836,9.8100004196167,9.850000381469727,582700,0.0,0.0
2025-02-21 00:00:00-05:00,9.989999771118164,10.359999656677246,9.979999542236328,10.300000190734863,953000,0.0,0.0
2025-02-24 00:00:00-05:00,10.369999885559082,10.407999992370605,10.039999961853027,10.25,758800,0.0,0.0
2025-02-25 00:00:00-05:00,10.300000190734863,10.300000190734863,10.050000190734863,10.15999984741211,676200,0.0,0.0
2025-02-26 00:00:00-05:00,10.180000305175781,10.279999732971191,10.15999984741211,10.239999771118164,601800,0.0,0.0
2025-02-27 00:00:00-05:00,10.15999984741211,10.270000457763672,10.039999961853027,10.09000015258789,939400,0.0,0.0
2025-02-28 00:00:00-05:00,10.069999694824219,10.09000015258789,9.890000343322754,10.029999732971191,799900,0.0,0.0
2025-03-03 00:00:00-05:00,8.449999809265137,8.479999542236328,7.070000171661377,7.199999809265137,4264900,0.0,0.0
2025-03-04 00:00:00-05:00,7.170000076293945,7.420000076293945,6.751999855041504,7.21999979019165,2307800,0.0,0.0
2025-03-05 00:00:00-05:00,7.110000133514404,7.519999980926514,7.039999961853027,7.400000095367432,1629500,0.0,0.0
2025-03-06 00:00:00-05:00,7.289999961853027,7.485000133514404,7.090000152587891,7.460000038146973,1928200,0.0,0.0
2025-03-07 00:00:00-05:00,7.400000095367432,7.420000076293945,7.239999771118164,7.349999904632568,1231100,0.0,0.0
2025-03-10 00:00:00-04:00,7.300000190734863,7.429999828338623,6.909999847412109,6.920000076293945,1089200,0.0,0.0
2025-03-11 00:00:00-04:00,6.900000095367432,7.25,6.835000038146973,7.119999885559082,1154200,0.0,0.0
2025-03-12 00:00:00-04:00,7.130000114440918,7.15500020980835,6.989999771118164,7.150000095367432,1418600,0.0,0.0
2025-03-13 00:00:00-04:00,7.53000020980835,7.96999979019165,7.5,7.840000152587891,2094400,0.0,0.0
